 	non	ho	dove	d	andare	</S>
a20	2.7841809e-08	3.6856713e-07	0.0021732426	0.96059024	0.036169965	0.0010661173
a31	0.0010567154	0.037558183	0.7615538	0.16234547	0.02935791	0.008127947
a37	0.00040265874	0.042903718	0.87771213	0.07870751	0.00018924745	8.4794396e-05
a31	9.700715e-08	5.9931583e-05	0.24105395	0.7431286	0.0055168667	0.010240607
a29	1.1809422e-05	0.000481846	0.90973794	0.032328017	0.054587137	0.0028531814
a41	8.773021e-10	5.9393312e-09	0.00018722503	0.24481364	0.75135356	0.0036455188
a31	6.072944e-11	2.6763775e-10	4.6654563e-06	0.17813185	0.8191791	0.0026844225
a18	1.8334913e-12	2.0817373e-10	1.8868166e-05	0.10465454	0.8938948	0.0014318208
a31	3.797153e-12	1.1068324e-11	2.5701112e-08	0.28549874	0.70652133	0.007979942
a39	1.1404232e-14	1.1287429e-12	3.4645137e-08	0.7977089	0.19197096	0.010320079
a31	3.2083312e-13	1.8374425e-12	9.118161e-10	0.5410038	0.37186462	0.08713155
a8	4.158084e-16	1.1385726e-13	2.5084328e-09	0.9223247	0.036656816	0.041018505
a31	5.427051e-15	1.7167855e-12	2.792785e-08	0.48319826	0.38135013	0.13545157
a8	1.4041742e-16	4.7527662e-14	4.7486823e-09	0.40538427	0.102350384	0.49226534
</S>	2.3791432e-15	4.2464665e-13	2.2654012e-08	0.08337119	0.55946565	0.35716313
