 	non	so	cosa	scrive	</S>
a46	9.082166e-08	9.6844516e-08	0.00032204128	0.9980819	0.00159592
a8	0.0030161939	2.5948535e-05	0.109680496	0.686546	0.20073135
a31	3.5540777e-06	9.437183e-09	0.00027633453	0.9946137	0.0051063057
a13	4.5989073e-06	1.7777385e-08	5.2302366e-05	0.9992908	0.00065225794
a31	2.22665e-07	1.7664918e-09	6.6133274e-05	0.9984428	0.0014907465
a28	9.552488e-07	2.6650051e-08	0.00016140353	0.999585	0.00025259427
a31	1.6651446e-09	6.653239e-11	2.348486e-05	0.9994797	0.0004968164
a37	1.9310416e-07	1.8777502e-08	0.008818336	0.9909065	0.000274986
a31	3.7046937e-09	7.518836e-10	0.00018246555	0.9992988	0.00051865214
a11	3.516755e-10	3.4946226e-10	1.0253036e-05	0.9994949	0.00049488374
a31	9.723938e-12	4.4117095e-11	5.759401e-07	0.9993475	0.00065184874
a20	8.583236e-13	6.161934e-12	2.8388385e-08	0.9990651	0.00093485875
a31	5.6540954e-14	3.9732865e-13	7.811475e-10	0.99438125	0.005618771
</S>	9.58073e-15	3.3989582e-14	7.776922e-11	0.98921305	0.010786969
