 	e	che	cucino	</S>
a31	9.122401e-06	0.0012464909	0.95269436	0.046050027
a24	0.00049114553	0.693385	0.28272805	0.023395844
a31	0.00057528645	0.60793054	0.3268815	0.0646127
a11	0.00043396483	0.4085988	0.39395076	0.19701648
a46	2.1529882e-05	0.030257123	0.5323233	0.43739802
a41	3.857579e-06	0.01227471	0.4360809	0.55164057
a20	4.098052e-08	0.00031976931	0.08627456	0.91340566
a36	4.9668114e-09	7.213985e-05	0.20881951	0.79110837
a31	1.0646174e-08	0.00036705896	0.84632677	0.15330622
a46	6.5150736e-12	3.3118417e-07	0.04319581	0.9568038
</S>	6.7541434e-10	2.5206064e-06	0.09104593	0.9089515
