 	la	macchina	vuole	riparata	dal	meccanico	</S>
a31	0.00036049244	0.0009412271	0.025556087	0.05930619	0.00028893873	0.8516077	0.06193944
a33	7.1285062e-06	2.0314623e-05	0.0011076833	0.004345325	0.007342949	0.9494086	0.03776798
a31	7.532527e-09	1.7363382e-07	0.00081461924	0.2321976	0.0023732402	0.7483752	0.01623917
a41	1.3253054e-05	7.308559e-05	0.005107318	0.14324519	0.004583452	0.83863723	0.008340438
a18	0.00012504998	0.0009406527	0.025085764	0.028373705	0.00073841267	0.9358768	0.008859668
a11	0.00041774422	0.001750152	0.028251046	0.06921646	0.008350153	0.88004476	0.011969703
a17	7.895121e-05	0.0003228287	0.0042715315	0.009832846	0.0011604761	0.97135925	0.012974085
a11	1.2129191e-05	3.0169707e-05	0.00030143093	0.0012442521	0.00025590992	0.98549706	0.012659065
a31	5.3491664e-07	1.0808582e-06	1.8881852e-05	0.00011855462	1.553564e-05	0.98051757	0.019327873
a21	4.3073662e-08	6.5913916e-08	2.5152335e-06	4.14495e-06	4.4286285e-08	0.9912453	0.008747859
a31	1.4203306e-08	2.3745672e-08	7.138963e-07	5.282813e-06	5.95909e-07	0.9734822	0.026511244
a15	3.4917897e-09	3.1594103e-09	1.3447101e-07	2.6547093e-07	1.4311348e-09	0.9423035	0.05769602
a31	4.397323e-09	8.348043e-09	1.4163935e-07	9.73209e-07	9.085447e-08	0.8859387	0.11406002
a11	6.295219e-10	4.995511e-10	1.6387533e-08	7.5958965e-08	3.618669e-10	0.68297523	0.31702468
a31	1.0711008e-09	1.0616713e-09	3.4276024e-08	3.5851096e-07	1.4285566e-08	0.8124456	0.187554
a11	1.2814371e-09	1.9257942e-09	4.13143e-08	1.3368407e-07	2.4016134e-09	0.6227317	0.37726817
a46	1.1192256e-09	2.5208516e-10	3.2581402e-09	2.341609e-07	1.6211754e-08	0.8006627	0.199337
a31	3.3790074e-10	2.66955e-10	7.428877e-09	2.2036754e-07	9.8056546e-08	0.69060105	0.30939862
</S>	9.660201e-11	9.715413e-11	2.2963489e-09	6.7376185e-08	1.0019906e-08	0.52256674	0.47743317
