 	venne	scritto	</S>
a31	0.0006722965	0.5025664	0.4967613
a28	0.0007541459	0.8338386	0.1654072
a8	0.00070497085	0.49452353	0.50477153
a31	0.00044508046	0.52275395	0.47680098
a20	0.00016817622	0.43049213	0.5693397
a31	0.0015373894	0.9766284	0.021834185
a13	5.504617e-05	0.634766	0.36517897
a29	3.4735042e-06	0.18156756	0.818429
a39	1.3997554e-07	0.028826114	0.9711737
a31	2.2687024e-08	0.0039953813	0.99600464
a35	1.9488722e-10	1.8552242e-05	0.9999814
a31	3.1531184e-09	0.0005691778	0.99943084
</S>	6.2951575e-11	1.1664746e-05	0.9999883
