 	i	piccoli	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	prima	di	mangiare	</S>
a23	4.3957963e-05	7.4772375e-05	0.00025419466	0.030852906	0.022040427	0.07329745	0.0055533373	0.0028323221	0.019583307	0.0021909722	0.014673939	0.049412772	0.012457777	0.061015815	0.65969473	0.046021238
a31	1.937311e-06	4.7866416e-07	2.0915078e-07	2.807827e-06	7.0541923e-06	5.132776e-05	0.0006215222	0.00773671	0.030609438	0.13273507	0.43247464	0.30640748	0.05185033	0.014916662	0.013381197	0.009203167
a37	3.4392076e-07	4.7465203e-08	1.0951361e-07	4.0570308e-06	1.6227117e-05	1.5818418e-05	0.0009774229	0.006455601	0.055793844	0.24128766	0.16094184	0.15501408	0.28371266	0.066478096	0.025641361	0.0036608067
a31	1.8105266e-09	1.3423759e-08	1.2437725e-06	3.871954e-05	3.8050166e-05	5.259884e-05	0.00040502378	0.0014871855	0.0038590976	0.018015286	0.16668123	0.5185093	0.16864754	0.08089949	0.03439478	0.0069704284
a24	8.301376e-09	1.2959667e-07	1.6436915e-06	2.1085127e-05	3.6713893e-05	5.0775165e-05	0.00012970556	0.00018250971	0.00039385384	0.0006993574	0.0029459763	0.04560316	0.07177757	0.4905325	0.38296512	0.0046599023
a46	2.4881226e-11	3.5316577e-07	4.3185315e-05	0.005110112	0.007797592	0.003133304	0.012248557	0.015730716	0.046879962	0.048164383	0.015754137	0.0331457	0.03881209	0.43974042	0.31516263	0.018276855
a31	2.0401737e-10	1.6562588e-07	3.006239e-05	0.00052313594	0.0005687543	0.00047298908	0.0012443468	0.0014400728	0.0033928691	0.0045020585	0.0043879487	0.030573545	0.1056328	0.53046054	0.30683285	0.009937857
a39	2.7877789e-08	0.000111144516	0.0034171198	0.014650936	0.010749734	0.010812565	0.01828975	0.01681866	0.027759101	0.02237934	0.008626877	0.0063497145	0.0068726614	0.095772944	0.7167658	0.040623505
a8	4.890354e-12	1.659788e-06	8.6884575e-05	0.005024587	0.030135633	0.018081715	0.04909605	0.055997428	0.075907804	0.06064908	0.0233483	0.015142491	0.013676445	0.13440594	0.4871771	0.031268895
a3	1.9179163e-11	2.8745328e-07	0.00017497229	0.010515956	0.009949204	0.00454169	0.015923345	0.016089924	0.047438126	0.048274677	0.010358468	0.012628186	0.045839183	0.2655378	0.451644	0.061084226
a31	4.9089015e-13	5.4528454e-07	2.2357126e-05	0.001076859	0.012476245	0.005936256	0.062530324	0.08058499	0.16737942	0.16286534	0.046057224	0.0440945	0.011118384	0.12825266	0.19532116	0.08228378
a10	2.2419367e-11	1.642582e-06	0.0049436376	0.034665845	0.01197889	0.0061990554	0.008116693	0.0057227467	0.01582465	0.013447372	0.003969948	0.0024610022	0.0016239936	0.042237956	0.81304955	0.03575703
a3	1.1955147e-12	7.117502e-07	0.00016222791	0.0023154984	0.0074182316	0.0021814231	0.017836783	0.023676042	0.053366207	0.05736197	0.05010888	0.062070567	0.01128068	0.1917145	0.496815	0.02369129
a39	6.1980054e-13	9.3444953e-07	0.00014081599	0.0025310656	0.011394949	0.0035332362	0.060872592	0.07987037	0.21549788	0.21657231	0.05829102	0.030620443	0.0059006335	0.07497814	0.18102108	0.058774572
a31	1.1259904e-13	2.4176168e-07	4.0799492e-05	0.0009590259	0.007219142	0.0027622026	0.0786465	0.114840664	0.24987346	0.22558391	0.03865168	0.010087259	0.0010087432	0.014217663	0.0763944	0.1797143
a27	1.1646222e-13	3.2734505e-08	0.0001738739	0.016182689	0.024312848	0.007552756	0.011515663	0.005830159	0.045713816	0.048871864	0.0075219977	0.0024186445	0.00010992957	0.010817188	0.5320848	0.28689367
a7	3.2308168e-13	3.7643343e-07	0.00040421844	0.0044374415	0.0036707413	0.0005870243	0.014190922	0.03164324	0.09113288	0.12422341	0.13745283	0.08014488	0.0010822498	0.046857644	0.27942753	0.18474466
a31	1.7832936e-13	6.687709e-08	8.482465e-05	0.0012101706	0.0024784147	0.0008615925	0.041938752	0.08990547	0.18636651	0.19664426	0.060289316	0.014261983	0.0004960296	0.012376363	0.09654877	0.2965375
a20	9.952718e-15	4.9628923e-09	2.1900789e-05	0.0050982283	0.022447243	0.006684038	0.018866437	0.009004586	0.09844767	0.10185763	0.0072292704	0.0010214422	7.457055e-06	0.001228994	0.14173746	0.5863477
a3	1.1453296e-13	7.9135866e-08	0.0002433124	0.0038145764	0.0033935427	0.000609424	0.012658773	0.029934645	0.07406383	0.09522449	0.11677645	0.0455606	0.00029452427	0.018936357	0.20150264	0.39698684
a20	6.3239466e-14	2.0031381e-08	4.646095e-05	0.0009326655	0.0013905955	0.0007014234	0.026100986	0.07015699	0.11218742	0.10926924	0.044282943	0.009330834	0.0003055747	0.0091930665	0.13545114	0.48065057
a28	3.4266298e-14	2.5005829e-09	1.1550418e-05	0.0006876349	0.00058974273	0.0002945341	0.0036057888	0.013693256	0.014111795	0.014998938	0.016762223	0.009741281	0.00040252318	0.013288018	0.27978766	0.63202506
a29	6.634899e-14	3.6380619e-09	1.8193045e-05	0.0009496519	0.0005067825	0.00026314557	0.0017075463	0.0064990483	0.0064054667	0.0073240753	0.015519014	0.012112444	0.0004930468	0.02029847	0.31183654	0.6160665
a31	5.3239506e-15	1.1210715e-09	2.001489e-06	0.00012506881	0.00066451426	0.0003592724	0.0064010504	0.011219698	0.023042133	0.02112169	0.0077172094	0.0051776785	0.0005037582	0.014173275	0.317705	0.5917876
a28	3.9609433e-15	1.5118402e-09	3.0364013e-06	0.00041179336	0.0050431415	0.0014613599	0.011245836	0.007975685	0.04274085	0.041399118	0.003420951	0.0014713866	8.216117e-05	0.003604312	0.16292639	0.718214
a46	1.0022496e-13	1.0643126e-08	3.8446076e-05	0.0016598381	0.0009012124	0.00045087593	0.0014138182	0.0048499554	0.0040882807	0.0042997203	0.013692043	0.012647259	0.00044729657	0.017919965	0.36577085	0.57182044
a20	2.5895783e-15	1.9370175e-10	5.2576706e-07	7.289334e-05	0.0010347718	0.00054508727	0.005932316	0.00615409	0.021768648	0.02057973	0.0029295068	0.0018935541	0.00024497006	0.008031344	0.27655402	0.65425855
a31	2.1612791e-14	2.40319e-09	1.0688539e-05	0.00125194	0.001701541	0.00092744344	0.0020395126	0.0063176616	0.005028259	0.0043268637	0.015217753	0.009611965	0.00011801942	0.0054548867	0.16176806	0.78622544
a37	2.2671739e-15	2.289376e-10	1.0361688e-06	0.00015659342	0.0022890544	0.00086812023	0.0070132334	0.005243162	0.026996322	0.02804882	0.00219853	0.000995047	3.8271948e-05	0.0023603975	0.13974787	0.78404355
a27	6.8519754e-14	4.5218496e-08	5.8114474e-05	0.0026533438	0.002369277	0.0014578848	0.0060483287	0.02353969	0.012889283	0.008992825	0.014817555	0.0093748765	0.0005333382	0.007945526	0.23311393	0.676206
