 	io	non	ho	cosa	da	mangiare	</S>
a31	8.591464e-06	1.4825648e-05	0.0094175255	0.031612836	0.008997912	0.82882375	0.121124566
a37	0.00013123779	0.0049118055	0.007459186	0.039592076	0.6592673	0.2524716	0.036166817
a31	8.618707e-08	1.0013096e-05	0.14867371	0.34257266	0.37954304	0.09382508	0.035375394
a18	3.1650345e-07	0.0002798721	0.18009095	0.40228334	0.21537708	0.18625419	0.015714262
a31	5.262271e-08	3.0557996e-05	0.09724809	0.6524277	0.18631987	0.053203657	0.010769996
a11	2.4015566e-05	0.0041710017	0.10703819	0.54152495	0.036977682	0.28189063	0.028373525
a37	5.442385e-08	3.2730135e-05	0.051910978	0.73224384	0.14724883	0.06527389	0.0032897263
a15	8.5678215e-10	9.3526e-08	0.0004820313	0.3188697	0.3996451	0.25938123	0.021621825
a39	3.5373644e-12	2.3928e-10	1.5570873e-06	0.018362604	0.2580945	0.6482017	0.07533968
a31	1.9698506e-13	2.706146e-13	3.3644687e-10	0.00036911172	0.04673611	0.7490634	0.20383136
a39	8.60492e-15	1.2452436e-12	2.460585e-09	0.00015686464	0.0098745255	0.5643822	0.42558637
a20	1.7359839e-13	1.5301053e-13	2.2416059e-11	6.584578e-05	0.039199315	0.9064561	0.054278683
a24	1.233984e-13	2.560018e-14	1.0204485e-12	2.2851941e-06	0.013507191	0.88470125	0.101789236
a31	6.3687764e-14	2.6107497e-15	4.4523176e-14	6.479101e-09	0.00046515194	0.17213535	0.8273995
a46	2.461147e-16	4.2094382e-15	2.322438e-12	5.9617514e-07	0.00042207373	0.10319947	0.89637786
a31	8.138552e-15	9.619363e-15	3.6600493e-12	2.6390137e-05	0.006593138	0.70637214	0.28700835
a3	6.43489e-17	5.7506904e-16	1.9200365e-13	1.9836284e-07	0.0001109839	0.03594365	0.9639452
a31	1.6243589e-13	9.028196e-15	6.769178e-14	4.377471e-09	0.00046339046	0.411626	0.5879106
</S>	1.2533107e-17	8.776534e-17	1.2982275e-14	5.581367e-09	7.818444e-06	0.00930444	0.9906878
