 	vuole	andare	a	Lecce	</S>
a20	0.00014276161	0.020670269	0.67870677	0.12794815	0.17253204
a31	0.0099859685	0.3751952	0.5264736	0.03228394	0.056061365
a18	0.00020806931	0.10412211	0.7950402	0.00090316474	0.09972656
a46	2.959143e-07	0.00026074023	0.0042913775	0.00020310051	0.99524444
a37	5.583449e-07	0.0008380348	0.028694654	0.0015923426	0.96887445
a23	1.0269727e-09	1.1098438e-06	9.208706e-05	3.1350278e-06	0.9999037
a18	4.2356192e-12	3.493862e-08	0.00017678412	1.8768935e-05	0.99980444
a38	6.20281e-12	2.6033071e-09	4.7412308e-05	1.734615e-05	0.99993527
a37	1.9089683e-11	7.712735e-09	0.00056995655	0.001601885	0.9978282
a31	7.0853974e-12	1.1661909e-09	5.105032e-06	1.0322603e-05	0.9999846
a20	2.4724794e-13	1.4141548e-10	5.3128488e-06	1.9049554e-05	0.9999757
</S>	1.5539887e-11	8.758394e-10	2.0771888e-06	1.8536855e-05	0.9999794
