 	se	avessi	visto	il	tempo	avessi	visto	le	nuvole	e	non	avevo	uscito	per	bagnarmi	</S>
a20	1.17314194e-07	9.639351e-06	9.293661e-05	0.0031175588	0.8896069	0.00017748591	0.021696178	0.028225848	0.008767014	4.737001e-05	0.026925	0.0010266573	0.0013767382	0.009030709	0.0055949655	0.004304944
a11	1.7729596e-09	2.3034767e-07	5.2190335e-06	2.9610559e-05	3.134408e-05	0.00013683664	0.0027718171	0.0056537143	0.0038559686	0.00017760847	0.07828794	0.0005927562	0.8053531	0.01502656	0.08681662	0.0012607492
a38	4.996266e-09	3.3672447e-07	0.00012934883	0.00034967758	0.00042661978	0.00015940248	0.0177116	0.024403771	0.0023456693	5.066285e-07	0.011578478	1.9287352e-06	0.013111822	0.036497302	0.8875978	0.005685677
a37	4.197265e-09	1.1068069e-08	4.06442e-06	2.0961584e-06	2.1077349e-06	1.3218869e-06	0.0004699294	0.00044501206	6.41467e-05	7.3807467e-09	0.00084501907	1.8454067e-07	0.0041655595	0.026232362	0.9671308	0.0006373154
a11	9.7491286e-11	5.2763567e-09	6.1336973e-06	1.1763481e-05	1.3063762e-05	4.4107924e-06	0.0015829202	0.0018264295	0.0006326055	2.8988318e-08	0.008087071	4.730661e-07	0.0017843305	0.017188597	0.9631701	0.005692041
a13	3.3728424e-12	4.1487425e-10	5.081331e-07	1.6533781e-06	3.5349788e-06	9.923302e-07	0.00022273221	0.00023487749	0.00018709323	2.2029077e-08	0.0031015542	2.0153836e-07	0.0011450596	0.014675127	0.9783442	0.0020823784
a37	1.4488846e-13	4.3598413e-11	7.27811e-08	4.6772672e-07	1.8121609e-06	4.7513134e-07	5.7093734e-05	5.0645667e-05	5.473189e-05	3.4635782e-08	0.0012839452	1.8122982e-07	0.0011784498	0.014987483	0.9812707	0.0011138351
a31	1.8818709e-14	2.0752586e-12	1.0456356e-08	2.039082e-07	2.3557855e-06	9.548818e-07	6.09886e-05	4.5860845e-05	3.5732442e-05	1.5029386e-07	0.001051203	4.6863858e-07	0.0024513074	0.022652075	0.9721167	0.0015819466
a24	4.3927036e-13	4.845576e-10	2.986352e-08	4.2021238e-08	2.999392e-07	1.5126659e-07	1.5833451e-06	9.458788e-07	2.7001363e-07	3.8278168e-07	2.7348164e-05	1.661402e-05	0.01255804	0.06338611	0.9230069	0.0010012892
a31	1.0836911e-14	7.4250474e-14	1.5039603e-09	2.5333506e-08	1.4737035e-06	1.2626718e-06	6.68278e-05	4.8931866e-05	9.299838e-06	6.639712e-08	0.00024330469	1.1351358e-06	0.002903057	0.06062484	0.93412834	0.0019714334
a39	6.884204e-13	3.1542422e-09	3.8953817e-07	1.1177311e-06	1.1093138e-05	3.4020363e-06	2.1178117e-05	1.1915044e-05	1.8302483e-06	1.2148917e-06	6.550887e-05	0.00040359347	0.0948951	0.06552687	0.83675504	0.0023017062
a31	1.0041773e-12	3.5560986e-13	3.2621163e-08	1.0712141e-06	3.5645808e-05	0.00013634692	0.0010782469	0.00074952806	0.00025016573	1.2261126e-05	0.0038793366	0.0013529559	0.036250085	0.09139176	0.84741235	0.01745014
