 	voglio	un	forno	che	vende	rustici	</S>
t	0.783723735	0.21465950622	0.0015721069	2.90057695e-05	7.417814e-06	2.31347565e-06	5.887086e-06
è	0.766846635	0.22926650874	0.00371956373333	0.0001094186485	2.39341676667e-05	5.61515331667e-06	2.83030446667e-05
l	0.849730578333	0.124995972913	0.0249595505778	0.000234465396167	3.81167882222e-05	6.17827454889e-06	3.51304564222e-05
o	0.581745618778	0.370908530971	0.0448884101926	0.00105692721206	0.000288453214074	5.5450489293e-05	0.00105664224367
è	0.215138657126	0.707083860324	0.0716897333975	0.00335567917069	0.000886491088025	0.000132962399764	0.00171267586456
n	0.152268400575	0.536685143441	0.297636731132	0.00962365492356	0.00276432862934	0.000109606999255	0.00091218607152
a	0.130936319192	0.311838571147	0.507580143711	0.0358440029745	0.0112733858764	0.000379963719085	0.00214763555717
f	0.051839092064	0.228989454382	0.655901047904	0.0468784686582	0.0127952189588	0.000538820549695	0.00305788085239
ù	0.025485659088	0.140795315461	0.766567182635	0.0503553188861	0.0143663713196	0.000530609026565	0.0018995200508
r	0.0109340374293	0.10745375582	0.723744494212	0.124812639629	0.0315372197732	0.000478835230522	0.00103897635027
n	0.141370825143	0.0825955726067	0.618844484737	0.12684081221	0.0297641330577	0.000184320867374	0.000399808767423
o	0.182695580031	0.0752606356689	0.393615548246	0.20541524307	0.131770494819	0.00494847395799	0.00629399287314
k	0.0627181936603	0.0285120013563	0.306075896082	0.373390471023	0.212917658273	0.00687194201933	0.00951378879105
a	0.0229515450101	0.0149181141188	0.253842605361	0.384907040341	0.304788666091	0.00982846803978	0.00876352209702
p	0.0172499261267	0.0152335850396	0.14029894512	0.276823932114	0.514693955364	0.0148173936799	0.0208822440323
u	0.0166432523756	0.0241825150132	0.09090891604	0.196636902705	0.628323775121	0.0209603942266	0.0223442356774
l	0.00801779065853	0.0216656836377	0.04464873768	0.180909830902	0.70312022504	0.0238393894089	0.0177983315591
ì	0.00568843375284	0.0180519691792	0.02654367856	0.123292466967	0.715612705013	0.0781840091363	0.0326267061864
r	0.00467859415095	0.0164361001264	0.0142063861867	0.0717609173223	0.771267708338	0.0925566581788	0.0290936190621
ù	0.00298973478365	0.00746191534213	0.0084798132289	0.0420267434408	0.669756012779	0.192664384526	0.0766213816874
s	0.00208933151788	0.00422560696404	0.00492436084297	0.0239682281469	0.64586429426	0.226427036509	0.0925011386058
t	0.0725058819293	0.0509818946047	0.0404397142143	0.0842347337156	0.631291374753	0.0839090238363	0.0366373982453
i	0.0964282002431	0.0679188407682	0.0533009244048	0.101736541072	0.305345639251	0.214608297945	0.160661566748
k	0.0600359763477	0.0247046467561	0.0232802174683	0.0651346401907	0.231900897417	0.355346372648	0.239597252249
u	0.0495469821159	0.0191115855187	0.0151566014894	0.0537321014969	0.205431094139	0.427458720883	0.22956291075
</S>	0.0283790410579	0.0248676167594	0.0127949397447	0.0296843578984	0.108239869569	0.521570095442	0.274464070375
