 	dei	genitori	</S>
à	0.999291385	0.00018994314	0.00051866283
t	0.889862818333	0.109721990327	0.000415196136667
t	0.842193692778	0.157588284442	0.000218015074989
u	0.656110944259	0.139489769147	0.204399257861
s	0.274332401953	0.451781396382	0.273886160854
g	0.110472440184	0.784904312127	0.104623194185
e	0.0564186280613	0.779265030709	0.164316300395
n	0.0225746178871	0.804403290236	0.173022060598
i	0.00902156042903	0.695000130079	0.295978283999
t	0.00349403968634	0.658745426693	0.337760526133
ò	0.00148318263878	0.801042938898	0.197473886844
r	0.00081772121626	0.849720742966	0.149461564348
u	0.000446812988753	0.623705425322	0.375847756849
</S>	0.000389472064376	0.323028004161	0.676582478425
