 	se	vieni	alle	sette	ancora	non	è	pronto	</S>
a	0.56957552	0.40951467	0.008250867	0.0100592052	0.000898228545	0.0010324498095	0.0001720857885	0.000189982389	0.0003069011465
n	0.266548829	0.70748814	0.0129872826667	0.0102946180667	0.000930976148333	0.00103159254917	0.0001692444467	0.000244102796333	0.000305150272833
è	0.101924828	0.86626403	0.0161538945556	0.0142673403556	0.000608649829444	0.000455648395723	6.38162921e-05	0.000150245202778	0.000111486171844
r	0.115719822	0.710957916667	0.129556043519	0.0358744321185	0.00657496888981	0.000342271481908	4.24590547e-05	0.000887355981593	4.4680916848e-05
t	0.114171609667	0.672836195556	0.16898768084	0.0342589805395	0.0083590246366	0.000198504362969	3.04707658e-05	0.00113523781786	2.22791908827e-05
i	0.0416471378557	0.563347728519	0.20188558328	0.187474133346	0.00433084971887	0.000392222606656	0.000106521054833	0.00041109374562	0.000404732779561
s	0.0672024982519	0.271934956173	0.399080811093	0.249277478449	0.0106055357396	0.000560335385552	0.000152718599611	0.000436731230873	0.00074890051652
e	0.0753087834473	0.160622678391	0.418890023698	0.324364006816	0.0166634902465	0.00202257041185	0.000398201411204	0.000468577916958	0.00126162969551
s	0.0367696608458	0.071921470797	0.488011137899	0.356053275605	0.0359133990822	0.00465618963728	0.000997848693735	0.00122527114565	0.0044517693985
i	0.0238921252839	0.0413127779323	0.447609570633	0.405693385202	0.0575415343607	0.0133065385458	0.00284452943124	0.00162342104855	0.00617615713283
t	0.01306872593	0.0244334153108	0.348064891544	0.436690181734	0.120941561454	0.0304586628486	0.00814598381041	0.00418373521618	0.0140128830443
t	0.0129181154767	0.0392757684369	0.338932560515	0.276178087245	0.231072923818	0.0402965272829	0.0146487986035	0.0309876200721	0.0156896552814
à	0.00786836509557	0.0406339261456	0.174386763838	0.321597835748	0.282521741273	0.0857195014276	0.0331191298678	0.038112759024	0.0160400276938
a	0.00291106270186	0.0197364991485	0.0671685889293	0.238756139349	0.310335193758	0.279393923809	0.0426857812893	0.022361592008	0.0166512789646
n	0.019547720634	0.0164783164828	0.0567119256264	0.0829688320497	0.277062011253	0.31112316127	0.0351439674298	0.0412137086693	0.159750416722
k	0.0258494753113	0.0573117784943	0.109665813875	0.0419892055166	0.155475104751	0.14763802609	0.106733401477	0.14403751289	0.211299749241
ò	0.0100646740038	0.0635901271648	0.093711536325	0.0255529322055	0.0866202292503	0.23594391103	0.182958213826	0.22117554763	0.0803829074137
r	0.00458584290127	0.0239610553883	0.0373995038083	0.0210487077685	0.109585986417	0.31222392701	0.166377181275	0.278632572543	0.0461852864712
a	0.00252004110042	0.0157082071294	0.0194684521694	0.0200427489895	0.0966505918057	0.20423252567	0.235403270425	0.307845364181	0.0981288388237
e	0.00271864140014	0.0240236557098	0.0083603334898	0.00736789846983	0.0395127216019	0.18735729189	0.276738506808	0.32343333806	0.130487607608
n	0.00822451913338	0.0225678950033	0.0158228753633	0.00437995922994	0.0197127578673	0.149023077497	0.157671840936	0.387004602687	0.235592427203
è	0.00855027197113	0.0109813101011	0.0180198260878	0.00338641001131	0.0113876381891	0.057666399699	0.064112091312	0.569122714229	0.256773306734
p	0.00313216611704	0.00476120460037	0.00634885109593	0.00118148883844	0.00534853039637	0.0254210509997	0.0281942662707	0.806045224743	0.119567233245
r	0.00162676267235	0.0251216974335	0.00332643656531	0.00068396362948	0.00796365823212	0.0112407457666	0.0127563685902	0.870286861581	0.066993541415
ò	0.00108382891745	0.0358151914778	0.00376396318844	0.000594826659827	0.00874677291071	0.0066353084222	0.0100790700301	0.720749910527	0.212531117472
n	0.000860046465817	0.0163295383926	0.00292577451948	0.000336499819942	0.0038516185369	0.0036558100074	0.00605911809003	0.676741093509	0.289240450824
t	0.00133383945527	0.0188376930309	0.00219700372983	0.000232281723314	0.00492975624563	0.0027005235358	0.00286678361001	0.82526658117	0.141635512608
o	0.00128620935176	0.024987742677	0.00480724657661	0.000321481301105	0.00477288876521	0.0021324696786	0.00239004780334	0.613721457057	0.345580454869
</S>	0.00092904737588	0.0210251818385	0.0068676002883	0.000396704465552	0.0026264704076	0.0015991353393	0.00221791830167	0.356545748529	0.607792177435
