 	ha	che	sono	usciti	</S>
è	0.71129067	0.280719165	0.00626988925	0.00027265074	0.0014476558
n	0.417067853333	0.266387672333	0.00926184975	0.304144677447	0.00313799563333
a	0.179393454444	0.269002874778	0.07212537025	0.469981565816	0.00949677131111
g	0.157939898148	0.485108304926	0.11873949675	0.228667317605	0.00954496331104
u	0.134306161383	0.406464472975	0.230034125583	0.216833688202	0.0123615286443
ì	0.0507844117943	0.164267689325	0.242933027528	0.527311172734	0.0147037150814
k	0.0492362999314	0.0670479494417	0.173348758176	0.700951957578	0.00941503556047
a	0.0480427400105	0.0325543639472	0.195074806059	0.582254942526	0.142073138853
n	0.0782305600368	0.0296833894491	0.161443865353	0.540330557509	0.190311648618
e	0.0882359104789	0.0276832865497	0.104270101118	0.571739472503	0.208071258539
</S>	0.0448285009395	0.0143548783748	0.058832339559	0.571678936252	0.31030536927
