 	non	li	aspettiamo	più	</S>
e	0.39038599	0.507912235	0.1007962075	0.00015703669	0.000748493075
t	0.218576533333	0.725065311667	0.0514661455	0.00417737037333	0.000714617318333
u	0.121566081111	0.788237383889	0.0842103465	0.00553220409111	0.000453992336111
s	0.0575975943703	0.564087027963	0.373588692167	0.00417646549704	0.00055022716537
m	0.0281390750234	0.304613949321	0.655935530722	0.0107737401657	0.000537727651457
è	0.0104832578745	0.221914633107	0.752281576907	0.0119668867219	0.00335366731349
n	0.165499349258	0.238171797702	0.585365432302	0.0066391219073	0.00432430012783
u	0.217120604653	0.203872845901	0.510136130767	0.0287323483024	0.0401380833993
m	0.0883521081177	0.0770262226337	0.737519356922	0.0423306471008	0.0547716874664
e	0.0449572011726	0.0339231598446	0.764732852307	0.0816875033669	0.0746992901555
p	0.286310580524	0.0244829182482	0.491435427436	0.103729191789	0.0940419177185
l	0.366729156941	0.0213606534161	0.449042029145	0.115648191263	0.0472199923062
è	0.122500985994	0.00760884381203	0.426319993048	0.409710403754	0.0338597478354
o	0.0437124739113	0.00275296794401	0.155413473349	0.644655604585	0.153465480945
</S>	0.0259870494557	0.00163005097201	0.0844220901745	0.624476087293	0.263484760473
