 	non	ti	dimentichiamo	mai	</S>
e	0.50142038	0.474026665	0.017339991	0.000837232483	0.006375683875
s	0.502828616667	0.469642711667	0.0171997706767	0.000847128789333	0.009481722625
e	0.479709698889	0.507254327222	0.00622880218557	0.000317588893444	0.006489561785
a	0.238224590963	0.752373775741	0.00531317567852	0.000213783093148	0.003874629505
l	0.103030564321	0.887452381914	0.00582713022617	0.000191210890383	0.00349869960167
l	0.040065610507	0.954894907305	0.00324666340872	7.93376071277e-05	0.00171352426056
i	0.0151669736023	0.901344959102	0.0681412771362	0.00427777808004	0.0110690597135
m	0.0069764112341	0.882306219701	0.0899579459787	0.00568251921235	0.0150769459045
o	0.0034056602447	0.6400624249	0.297947568926	0.0247064229231	0.0338779383015
n	0.0302433169149	0.508324926633	0.372776799309	0.031864238741	0.0567907591005
ù	0.0394193026716	0.471970794211	0.344201799436	0.059564987347	0.0848431673668
m	0.245833114591	0.19114681007	0.360322649812	0.0681180930823	0.134579339122
e	0.314398297584	0.0756435141233	0.294135396604	0.135759301661	0.180063469707
m	0.106549767248	0.0367192661411	0.249191258535	0.15920421142	0.448335496569
à	0.0372322947427	0.023407767647	0.144446202512	0.267649968007	0.527263788856
i	0.0129979277076	0.00967553148233	0.112438207504	0.468631212669	0.396257142952
</S>	0.0073474825538	0.00710167674117	0.073688163752	0.483125691335	0.428737006476
