 	voglio	che	Maria	venga	domani	</S>
i	0.9441996	0.0485983453	0.00560850016	0.0013731199965	0.000187170394985	3.32359675e-05
t	0.625222836667	0.172357833433	0.132014674387	0.0582429437988	0.0121175294983	4.41605091667e-05
è	0.503018015556	0.233742507811	0.170883152396	0.0763451465096	0.0159797694608	3.13754243889e-05
l	0.452527483185	0.277976025937	0.223820895065	0.0368000064132	0.00885176094827	2.38065117963e-05
o	0.162547402395	0.526172275312	0.268233115022	0.0318487068044	0.00895453661609	0.00224394521293
i	0.0623919500983	0.497942818437	0.289873651674	0.0990075046015	0.0408781580054	0.00990588407098
M	0.0284810426661	0.440325716146	0.351881020558	0.118859679867	0.0499588199018	0.010493697657
a	0.0277925228887	0.621976472049	0.278907506853	0.049254497789	0.0178002005139	0.004268782219
r	0.0267516356296	0.486002275683	0.178714708951	0.0298651914297	0.014933876818	0.263732309773
ì	0.0212163955432	0.219071947561	0.0973008296503	0.241390776477	0.053355975606	0.367664087258
a	0.0130292617927	0.089439171467	0.0660186212168	0.591330338826	0.0986655185353	0.141517112753
n	0.0045508817759	0.0302639654357	0.0242083086623	0.488345715075	0.395859679512	0.0567714789177
a	0.020986979492	0.0158328424786	0.0215285744774	0.429654860492	0.473824906504	0.0381718579726
r	0.0263883389073	0.0109092832595	0.0205004561858	0.413281106831	0.183918083501	0.345002752658
t	0.0489972270458	0.27159184952	0.0123557124219	0.14416310961	0.0759361885003	0.446955924886
i	0.0581110247486	0.358709828007	0.00964492384063	0.0817308305367	0.2773037855	0.214499612295
à	0.0210628077342	0.120101379759	0.00330137171688	0.0875211535122	0.640842311833	0.127170994098
v	0.00703709868173	0.0400634702168	0.00112129774896	0.0570780167374	0.840489503944	0.0542106196993
v	0.00339087384624	0.0232178744456	0.00243236892299	0.0203005263125	0.907730001315	0.0429283815664
r	0.112450718215	0.202287124482	0.0229111108743	0.00882939037083	0.613925296438	0.0395964205221
i	0.186568112738	0.270411344827	0.0281424032581	0.00436284674361	0.275939281479	0.234576053507
</S>	0.151484316369	0.162610602414	0.0147400495791	0.0026402136518	0.236810770739	0.431714076754
