 	sto	e	cucino	</S>
e	0.90622578	0.09250177885	0.000338232485	0.000934221685
s	0.888229146667	0.0986705742833	0.0122252557817	0.000875021001667
t	0.631872745556	0.252244582761	0.115493761261	0.000388889483889
è	0.237689949185	0.591379164254	0.168754777087	0.00217606733796
c	0.392766487062	0.504115385418	0.100352361029	0.00276572248099
e	0.439410642771	0.277521645806	0.259991885676	0.023075805862
m	0.25009291134	0.230029578602	0.484538198559	0.0353393052873
a	0.186882497153	0.136288968867	0.647477582853	0.0293509064291
r	0.064846686291	0.0694066539557	0.812644127618	0.053102490143
è	0.024144585946	0.0279592943852	0.880121992539	0.0677741150477
o	0.008326908311	0.0102921806617	0.69643309418	0.284947783349
</S>	0.0045702536755	0.00540247703085	0.48221641709	0.507810816675
