 	i	bambini	piccoli	li	vestono	i	genitori	</S>
a	0.309581425	0.6870055	0.00282234045	0.000219019545	0.000251730762	5.97820245e-05	1.2978232e-05	4.72598335e-05
p	0.131234557667	0.863617823333	0.00431619521667	0.000361172491667	0.000267921007333	5.76012182667e-05	0.000116921912333	2.78453206e-05
e	0.059005224889	0.926883797778	0.0120508377389	0.00167600373056	0.000147088574111	7.75186378556e-05	0.000147792076111	1.17653221667e-05
t	0.0254934976297	0.958610899259	0.013339007013	0.00199291907685	0.00010889298837	8.63322296185e-05	0.000356430060704	1.20703129222e-05
à	0.0109139126766	0.925494699753	0.056147898771	0.00679249839228	8.465361279e-05	0.000103215400206	0.000428095210568	3.50346449741e-05
c	0.0377914013589	0.878590033251	0.0732255239237	0.00907610969743	0.000576030622263	0.000114543373402	0.000588939840523	3.73807509914e-05
i	0.0462738414863	0.597065549084	0.282138988975	0.0643098074658	0.00378768574075	0.00528042158447	0.000708842176841	0.00043483824633
a	0.0157628326354	0.221672713695	0.463782356325	0.190790545822	0.0403085695802	0.0660228958615	0.000486881645614	0.00117319981544
k	0.0236010236518	0.127563247232	0.455285355442	0.236675668607	0.0554182401934	0.0823709057872	0.0131917345052	0.00589383123848
è	0.0261405942539	0.0860312204107	0.508767081814	0.294309656202	0.0272679073978	0.0328806927624	0.0175731808017	0.00702967719616
c	0.177796542788	0.0675514681369	0.362082778938	0.291535078734	0.0644682177993	0.0165500362541	0.0170547052339	0.00296117444872
c	0.354362567596	0.187334716046	0.174103781313	0.179597872911	0.0758562102664	0.00711102701803	0.0200877987446	0.00154602144957
i	0.244166438664	0.190766090615	0.109118053771	0.328995017637	0.0592046277555	0.0536384422727	0.0117833027149	0.00232803961652
a	0.0814465141133	0.0639052735917	0.057778303257	0.410117712546	0.145388249252	0.232192250758	0.00610395340497	0.00306777160551
a	0.0272636616511	0.0218263490339	0.024407856419	0.259421554182	0.280765943084	0.379797120253	0.00449913683499	0.00201837650184
n	0.0405437990704	0.0124285093946	0.0322007588063	0.202771851394	0.287861641028	0.281601700751	0.110946146612	0.0316455708339
d	0.0451739893101	0.0109325968982	0.0395550312688	0.152759791798	0.153894269776	0.11413576425	0.440729638871	0.0428189229446
ì	0.0153944420367	0.00574441768607	0.0199050985229	0.0835640099327	0.145601219359	0.243228948083	0.464154647624	0.0224072203149
n	0.0116479773256	0.00291721351536	0.0175813376076	0.0851389979776	0.209514969786	0.306648012694	0.351763930541	0.0147875595383
n	0.0660287297752	0.0232608551718	0.0875607275359	0.160086479326	0.141493518262	0.131249699898	0.383626876847	0.00669312287943
u	0.0777183510517	0.0293188873039	0.100800850079	0.142937162109	0.0698022210873	0.274408515633	0.253986042282	0.0510279612265
n	0.0270687855772	0.0103567630146	0.0416932102597	0.064069685703	0.0501408500291	0.323550959211	0.417366077427	0.0657536495088
e	0.0102176794224	0.0042004168482	0.0219063235199	0.0361759378343	0.047278956343	0.266913450404	0.555798052476	0.0575091822696
i	0.00385767043747	0.00250397149273	0.00765354510663	0.0133304188114	0.118079125448	0.447182643468	0.344055510825	0.0633371424232
g	0.00386162681249	0.00321219753091	0.00745668636888	0.0111614312038	0.118295405549	0.354654648423	0.462136020275	0.0392219881411
e	0.0044103179375	0.0045844637103	0.00828327238963	0.0131406267346	0.099378325583	0.237947960074	0.574003036758	0.0582519637137
n	0.00266583154583	0.00410380690343	0.00523867099654	0.0105605805782	0.0933179411943	0.200325141825	0.614846308919	0.0689416992379
i	0.00224476478194	0.00540140610114	0.00416862153218	0.00829430219273	0.0596246230648	0.111181782408	0.649369546306	0.159714942413
t	0.00204352923731	0.00571122503371	0.00354373921073	0.00596758373091	0.0484806304216	0.0804218578027	0.648503725435	0.205327682471
ò	0.000924821012437	0.00320405934457	0.00272044538358	0.0040282154103	0.0188705278739	0.0338253096009	0.703678858478	0.232747755824
r	0.000416795807479	0.00198557614486	0.00144540267453	0.00228946840343	0.00849344815797	0.0173655759336	0.754400386159	0.213603361428
i	0.00026114854916	0.00132721667829	0.00115546719151	0.00191134220114	0.00417068065266	0.0093726727112	0.613459592053	0.368341883296
</S>	0.00023032372458	0.00156934073915	0.00123742179575	0.00183899405057	0.00370508642633	0.0097472733556	0.351978841027	0.629692711648
