 	sul	muro	vuole	uno	specchio	</S>
s	0.98562245	0.0081675909615	0.000416835553	3.195104895e-05	0.00576063749819	5.675907e-07
t	0.97699955	0.0131041163205	0.001571223931	0.000420949706317	0.00790333203273	8.45383666667e-07
o	0.740321466667	0.248148642107	0.00541780064367	0.000587251252106	0.00541962977758	0.000105204055056
t	0.340072536222	0.345237060702	0.00914411121456	0.000419797200702	0.304927591826	0.000198877088352
ì	0.129364149407	0.453810600234	0.0121741640715	0.000312543966234	0.404188271219	0.000150200742784
c	0.064003743469	0.709398933411	0.0275337053572	0.00497434292141	0.19400990435	7.92981415947e-05
h	0.0432156014897	0.78669504447	0.0329220367857	0.00697780280714	0.130158138117	3.13314887649e-05
o	0.0284918520299	0.756460398157	0.152066990595	0.00337961586905	0.055440868039	0.00416022580715
t	0.01050110131	0.450668565052	0.291090740198	0.00258040868968	0.239482968013	0.00567615699572
è	0.00418711269	0.197817982351	0.495439130066	0.00366222686323	0.296066203238	0.00282732465857
l	0.001519806108	0.10389842465	0.778673110022	0.00377132448774	0.110382500979	0.00175485712619
i	0.00104055202733	0.0374968473167	0.831082490007	0.0168120080292	0.0662191723263	0.0473489360154
o	0.00216318027578	0.0157135796722	0.585003896669	0.0771071660097	0.222902900109	0.0971092653385
j	0.00250908275859	0.0109435435574	0.536811222223	0.0867091226699	0.28873562337	0.0742913827795
e	0.0017130862862	0.00752779073247	0.512434960741	0.290720741557	0.144584446123	0.0430189519265
l	0.00331937992873	0.00339092329082	0.240992330247	0.398481477186	0.268703407041	0.0851124706422
ì	0.00403375374291	0.00174093364694	0.105981591582	0.461976659062	0.32106055568	0.105206491881
</S>	0.00288109732146	0.00093557039847	0.058732568041	0.658396609531	0.20098734284	0.0780667934405
