 	che	sapeva	che	non	può	fare	il	bagno	</S>
k	0.49082094	0.50680446	0.001061364785	2.75134545e-05	0.000511953095	4.28434515e-05	2.1592003e-05	0.0006981360135	1.122639275e-05
a	0.207113513333	0.769133386667	0.0196871423183	0.000797655128167	0.002304247475	0.000152849777167	4.60468376667e-05	0.000721763437833	4.346363775e-05
ì	0.0899310954443	0.871379972222	0.0340233241061	0.00133185520939	0.00274637597833	0.000181872067389	7.07840142222e-05	0.000276223364944	5.85698969167e-05
s	0.160873372815	0.685309540741	0.0480813420354	0.00203900080313	0.0728928650128	0.0024307235508	0.000292757653074	0.0280523952406	2.80382326389e-05
s	0.183868319972	0.631066876914	0.0453402624118	0.00201347576571	0.0968331162043	0.00317567241427	0.000340699685125	0.0373506929669	1.08334293196e-05
e	0.062524484234	0.635165742305	0.236877700871	0.0108086844199	0.0389479992681	0.00141517636876	0.000427154669142	0.012577670409	0.00125534795221
r	0.117372776621	0.419549254102	0.376924713624	0.01488238834	0.057241203756	0.00190972332292	0.000599643709714	0.00981450166967	0.00170576974407
e	0.135543008084	0.260897918367	0.439684004541	0.0609173573133	0.0853587425853	0.00389200267431	0.0020986993999	0.00897470815656	0.00263355307469
k	0.090740175238	0.116943793122	0.486109554847	0.0881596991044	0.190316747528	0.00701660929144	0.0039594688333	0.0124603866522	0.00429358335823
a	0.075841312436	0.0666849940407	0.371258028282	0.154153569701	0.285213812509	0.0176044969305	0.0106623098111	0.0141344203174	0.00444702711941
e	0.026147196102	0.0334165450136	0.240566497427	0.277357483234	0.22226118917	0.0430155036435	0.142855943937	0.0087366142058	0.00564297220647
s	0.0118635221673	0.0178940311712	0.104705813809	0.218069351078	0.374102458057	0.0596725295478	0.186903424312	0.0206133764019	0.00617546270216
ò	0.0064382929891	0.00824179922373	0.0549816302697	0.135729730359	0.520074152686	0.132427304849	0.111643374437	0.0246944374673	0.00576925103405
z	0.00300284206303	0.00445712659124	0.0257059214232	0.103496785453	0.494514234229	0.199046161616	0.126725174812	0.0391220664891	0.00392963235468
i	0.00193141233434	0.00378904338041	0.0117377192744	0.0667746904843	0.380085948076	0.253209533872	0.217265981604	0.048395882163	0.0168097347949
k	0.00277312475811	0.0037657330268	0.0166071962248	0.0524038141614	0.356123519359	0.255387027957	0.225779823868	0.0649819540543	0.0221777744316
à	0.0029996425527	0.00301791534227	0.0175594895749	0.0262455860538	0.33923278312	0.288317289319	0.220374467956	0.0883760400181	0.0138767729772
i	0.00628757348423	0.0141310552141	0.00771952322497	0.0141882579513	0.150972154373	0.304110093106	0.352687945985	0.106536862006	0.0433665396591
o	0.0166703044947	0.0439298000714	0.00572475094166	0.0065823857171	0.0947441681243	0.182255217702	0.437247035328	0.146571864002	0.0662744788864
b	0.0226208068316	0.0438207680238	0.0114574983139	0.0072021887057	0.0642598917081	0.106552350234	0.463421401776	0.208487544667	0.0721775366288
à	0.0156613021105	0.0214053060079	0.0124540369046	0.00742237596857	0.030886209236	0.0657206224113	0.375229937259	0.397751924889	0.0734682602096
g	0.00634641487017	0.0124448447226	0.0058466736682	0.00372354788952	0.0139186841453	0.0368506940038	0.19525783242	0.58446696163	0.141144306737
n	0.00617442695672	0.0076232592942	0.00282861642273	0.00228321656317	0.00546122704843	0.0135358354679	0.08872403014	0.72617380721	0.147195525046
o	0.00598702798557	0.0129350384314	0.00690612844091	0.00277418095439	0.00509516128281	0.00716257032263	0.0510309580467	0.632853355737	0.275255524482
</S>	0.00380532149279	0.0171365342157	0.0117403777205	0.00355497547719	0.0069140676414	0.00697494451132	0.0340168670234	0.440809607868	0.475047262241
