 	non	ho	cosa	a	fare	</S>
e	0.60475347	0.185084887	0.200762405	0.005418124	0.00100398599	0.00297715065
n	0.334518519333	0.161489453333	0.191432060667	0.0049056805	0.30427505713	0.00337924588333
è	0.120129581444	0.0762447244443	0.393580412556	0.003126649	0.405211382643	0.00170729543178
c	0.044636546748	0.0407229849814	0.461254160852	0.00227335179333	0.450490181148	0.000622841054593
h	0.0162044299827	0.0201066853938	0.491169766951	0.00269333489111	0.469563282716	0.000262572720198
o	0.0066179304609	0.0172957320313	0.78411175565	0.025398898797	0.164507258239	0.0020685018354
t	0.0517834368203	0.0228379103438	0.566114031883	0.0316433160323	0.324546494413	0.00307485834513
i	0.0661598434734	0.0205852911146	0.207683695628	0.208906215111	0.441081861471	0.0555831358484
k	0.0289661756911	0.0144109620382	0.0794148131427	0.268745069937	0.521051247157	0.0874117879495
à	0.0162964589804	0.00854958634607	0.0273504258809	0.123593673546	0.751100399052	0.0731094653165
m	0.00649765031013	0.00620557211536	0.0105472933936	0.0750114671153	0.844689066351	0.0570489277722
i	0.00350881570338	0.00557035637179	0.00490246946453	0.0310475543051	0.662690538784	0.292280255257
</S>	0.00232902590169	0.00404755618589	0.00310373293227	0.0228881391525	0.416762494392	0.550869047628
