 	stava	ancora	cucinando	</S>
ì	0.99960043	0.00026032059	5.63299625e-06	0.0001336221535
s	0.90583763	0.0277708264567	0.0660809279937	0.000310641680167
t	0.874117276667	0.0372800508856	0.0882372912212	0.000365364044359
i	0.718748898889	0.195420034362	0.0318609392971	0.0539700775324
g	0.631236072963	0.278090104787	0.018815708099	0.0718580632298
g	0.817049367654	0.142816581596	0.016146473033	0.0239875193433
h	0.831589355885	0.141065030532	0.019304574011	0.00804099281543
e	0.544035116295	0.330818493511	0.0829993786703	0.0421469797585
a	0.201143484532	0.361613967837	0.375489676223	0.0617528599195
n	0.078555833944	0.172563911279	0.699204072074	0.0496761756398
k	0.054862185648	0.10318078576	0.803591004025	0.0383660217466
ò	0.0394486933493	0.0823519032533	0.853287714675	0.0249116671155
r	0.0148141098164	0.0415718110844	0.922914294892	0.0206997387052
a	0.00544238760547	0.0159550710281	0.752921988297	0.225680530235
m	0.00264072996849	0.00921286267603	0.673782629432	0.314363756745
a	0.00168878394283	0.00690423012534	0.808718243144	0.182688712248
r	0.00238955903428	0.00393986287511	0.757056127715	0.236614410749
è	0.00302096151143	0.0027657786917	0.672307322572	0.321905903583
o	0.0189204549038	0.0019220756439	0.486788354191	0.492369094528
n	0.230092171635	0.0140764214946	0.252728041397	0.503103374843
t	0.291442207878	0.0431519444982	0.397597223799	0.267808651614
a	0.112391187293	0.0419437395994	0.416602375266	0.429062707205
</S>	0.0666870446465	0.0244184869497	0.218557088633	0.690337383602
