 	non	ci	dimentichiamo	mai	</S>
e	0.577458395	0.40268	0.01009926728	0.0010209117965	0.0087414051
n	0.501364715	0.47158314	0.01007574368	0.0010986344655	0.0158777567
è	0.607058471667	0.376239923333	0.00360570001333	0.000464032301067	0.0126318607967
n	0.604222967222	0.298923217778	0.00995190353778	0.0129239675463	0.0739779484956
a	0.335672038274	0.540272432593	0.0123934741793	0.0170975371388	0.0945645029985
a	0.116482739625	0.798994897531	0.0224700517264	0.0075278991696	0.0545243944995
l	0.0432430723083	0.88289548251	0.0257657423921	0.00434021079987	0.0437554821665
l	0.0201120298694	0.95176274417	0.0092205833607	0.00148085628896	0.0174237471122
i	0.0113917258565	0.82136993139	0.0998911358669	0.020527612542	0.0468195564274
m	0.00542503451883	0.772150710463	0.130781672889	0.026910069164	0.0647324538091
o	0.00318596479294	0.621093250154	0.214799878563	0.0773583233713	0.083562514603
n	0.0461670738843	0.428147460051	0.257168156188	0.0995510657904	0.168966238201
i	0.0610531753281	0.332232064684	0.271480862063	0.112361493263	0.2228724194
s	0.023120798476	0.243217932895	0.270209167354	0.112642062188	0.350810036467
t	0.0189161498253	0.424375857632	0.131483355785	0.0490767751627	0.376147882156
ù	0.0153889018384	0.363576896144	0.146181905262	0.206504851721	0.268347474052
m	0.0708444548428	0.124394208548	0.132370670754	0.250690175574	0.421700514684
e	0.0893907208543	0.0466874272493	0.0894350575847	0.279761550191	0.494725288228
s	0.0302385560248	0.0213516318164	0.0626973651949	0.288884911464	0.596827579409
t	0.0137604861749	0.0327148801721	0.0352751733983	0.112512074221	0.805737403136
a	0.00792384521497	0.0368246882907	0.0326881491328	0.267488967074	0.655074344379
m	0.00297141520832	0.0159857923302	0.0199374687109	0.306822708025	0.654282604793
à	0.00131512995377	0.0083453966434	0.0146993395703	0.334405305008	0.641234848264
i	0.00210935422226	0.0070855217478	0.0155957085234	0.476191311669	0.499018122755
</S>	0.00354333311113	0.0078182058739	0.0140390697617	0.440960345834	0.533639036377
