 	l'	ha	scritta	</S>
t	0.96635602	0.031499365	0.00160754248	0.000537056815
o	0.68788904	0.301168178333	0.00663851916	0.00430423226167
è	0.282135211	0.685334002778	0.0216233623867	0.0109074130872
g	0.127294574667	0.708695534259	0.135851531796	0.0281583673624
r	0.0769672042223	0.64519821142	0.248438903932	0.0293956881208
a	0.0317238438074	0.464107462473	0.359862084644	0.14430662004
t	0.0169494010025	0.175039649491	0.621758451548	0.186252483347
s	0.0153878956675	0.17787717983	0.739435017183	0.067299867449
e	0.0085992712965	0.17006333081	0.511394412394	0.309942965483
</S>	0.00430872675925	0.085675881705	0.324822916197	0.585192482742
