 	non	so	cosa	scrive	</S>
e	0.36736278	0.601370215	0.029231498	0.00033734083	0.001698133785
n	0.194828863333	0.761384625	0.0244896933333	0.0166796503767	0.002617122695
e	0.0812975906443	0.764029965	0.129421054444	0.0232364690256	0.00201486547733
t	0.0315676860814	0.786297935	0.170754229148	0.0105946802419	0.00078542693811
s	0.0148551335605	0.598545811667	0.157610850716	0.228289949414	0.000698217246037
è	0.00661918982017	0.236063060556	0.451233083572	0.304536440138	0.00154819214868
r	0.0806983367067	0.236261410185	0.556744254524	0.120481702379	0.00581426051623
o	0.105354278202	0.217767846628	0.570520764841	0.063141471793	0.0432156388387
t	0.162687535367	0.159708025443	0.509544974947	0.110187599598	0.0578718832796
i	0.181559092936	0.139858575448	0.312976278316	0.241682693199	0.12392335476
g	0.279090305459	0.0845720187827	0.218521907105	0.234431147733	0.18338460492
r	0.312169923486	0.0664608755942	0.0919630533683	0.177311319244	0.352094798307
à	0.104930064595	0.0226900868747	0.0464668196894	0.424443116415	0.401469894436
f	0.0374641477983	0.00909705240157	0.0183582540298	0.749031105472	0.186049455479
i	0.0150091757528	0.00464199010052	0.0092256946766	0.671339645157	0.29978351416
</S>	0.0077813908564	0.00249994735026	0.0065664889883	0.499325937578	0.48382625708
