 	qualcuno	al	telefono	vuole	sapere	dell'	Anna	</S>
k	0.772117725	0.18405039	0.0357751932	0.005934332675	0.0003484407	0.000172448773	0.0015054709195	9.6005975e-05
a	0.756026458333	0.197968416667	0.0379559747333	0.00601168773167	0.000303429962	0.000159251434467	0.0015027834301	7.19981546667e-05
n	0.743471536111	0.227752958889	0.0255532872444	0.00246333931722	0.000143482594667	6.01155396223e-05	0.000520442823633	3.48538202222e-05
è	0.522420378704	0.432166466296	0.0432503860815	0.00164106707241	0.000265777776889	4.24083012074e-05	0.000193093778844	2.03942902074e-05
n	0.248144971901	0.660677218765	0.0711054790272	0.0176026600908	0.00095921153563	6.88347437358e-05	0.00143134434058	1.02604903358e-05
a	0.1207786663	0.772721936255	0.0803733736757	0.0230091612303	0.00116937652854	7.88219712453e-05	0.00184669455886	2.19878779119e-05
s	0.0704106521	0.719695605418	0.170400203225	0.0353335416101	0.00193293879285	8.47101270818e-05	0.00200007383162	0.000142289247971
t	0.0402499173667	0.614636491806	0.293568767742	0.0470979455367	0.00207757403095	8.95873723606e-05	0.00211374113721	0.000165983439124
o	0.0285956691222	0.492658390602	0.435596322581	0.0386934751789	0.00309537811032	0.000213709127454	0.000780757465737	0.000366302342841
t	0.0146886181407	0.306389306867	0.59465836086	0.0780628800596	0.00459925090344	0.000292514689151	0.000734668348579	0.000574391330947
e	0.00775126738023	0.179184232289	0.689035706953	0.113639193353	0.00857712963448	0.000546193489717	0.00072164149486	0.000544594110316
l	0.00529623922674	0.0938892054297	0.699413535651	0.185408884451	0.0133801222115	0.000933484729906	0.000911812476953	0.000766690670105
è	0.00397141394225	0.0430484298099	0.640467011884	0.276346931484	0.0307224497372	0.0033792302433	0.00103351064898	0.00103100372337
f	0.00354823368075	0.0277512209366	0.484600537295	0.415693463828	0.0606731532457	0.00436843501443	0.00261298840633	0.000751955118123
o	0.00419028116025	0.0183470707455	0.259865122432	0.541756807943	0.155696647749	0.0142482172715	0.00336225392544	0.00253361378304
n	0.00420716022008	0.00811679901517	0.144022048811	0.636020622648	0.183329052583	0.0177198264238	0.00329438166515	0.00329011266101
o	0.00228784797336	0.00427594393839	0.0841867816037	0.692981040883	0.181740714194	0.0286605584746	0.00371735078838	0.00214973732034
t	0.00158851032445	0.0019258205128	0.0440070768679	0.684985160294	0.223605778065	0.0356482041582	0.00578041666279	0.00245899384011
è	0.00129578130815	0.0011028939076	0.0284301597226	0.604726600098	0.296951412688	0.0575880393861	0.0069744674876	0.0029305800467
l	0.00176909970272	0.0009276062392	0.0142294743409	0.404676003366	0.490693537563	0.0727223121287	0.0127434630959	0.00223844536457
i	0.00169486341757	0.000859328745067	0.00799537021363	0.214225964455	0.618367125854	0.134409136376	0.0152658491986	0.00718235753719
n	0.00262004705586	0.00126839764702	0.00867201083788	0.120081561485	0.667233228618	0.163765420792	0.0271897855662	0.00916958154573
a	0.00284364802195	0.00141271758901	0.00903006897929	0.085102867495	0.576579242873	0.272930592264	0.0432775665221	0.00882331254858
t	0.00170806877732	0.00068038484967	0.00502400935976	0.046790776165	0.500698727624	0.371034364088	0.0633381488407	0.0107255338495
s	0.00231543295911	0.00046170252989	0.00411689638659	0.033006616055	0.479664009208	0.413864894696	0.0599799962802	0.00659048568317
è	0.0018842992197	0.00026751352663	0.0029270284622	0.0164248801517	0.317630659736	0.564624561565	0.0685883720934	0.0276526959611
r	0.0023065206399	0.000476318258877	0.00329224745407	0.0123213535172	0.245374149912	0.461399947188	0.240526707364	0.0343027388204
i	0.0025353210633	0.000592112842959	0.00349892025136	0.00991785173907	0.187633393304	0.404951119063	0.301085262455	0.0897860114401
à	0.00101072221643	0.000348633300986	0.00287088241712	0.00487384337969	0.072911678768	0.375197553021	0.394651347485	0.148135357147
t	0.00161894905081	0.000794910530329	0.00346295060571	0.00600992669323	0.0514567539227	0.20557141234	0.641202449162	0.0898826260157
t	0.00214890831694	0.00516868851011	0.0181271375352	0.0161228272311	0.0505653789742	0.126476085447	0.744881583054	0.0365093423052
i	0.00113089287231	0.00608067715004	0.0222131633451	0.0165443947437	0.0254874029581	0.070013145149	0.577955167685	0.280575127435
n	0.000835580924103	0.00246842189668	0.00879338334837	0.0070077127479	0.010850127286	0.0319997982497	0.577585395895	0.360459616478
A	0.000716431211368	0.00128650820889	0.00479107501612	0.00385746541597	0.006224114662	0.0321683092832	0.780231865298	0.170724289493
n	0.000627450107123	0.00235418497963	0.00662863617204	0.00329991820532	0.00294253188733	0.0307265381277	0.633640021766	0.319780739831
n	0.000902343769041	0.00339890919321	0.00629651692401	0.00225567391511	0.00115199352578	0.0104058694036	0.356645423922	0.618943293277
a	0.000704594876347	0.0020015258844	0.00327252817467	0.00159211401837	0.00062895952526	0.00480729279553	0.172366914641	0.814626111092
</S>	0.000431727418173	0.0011268091722	0.00291656058733	0.00201261690918	0.00061667109263	0.00438121839776	0.11174584232	0.876768605546
