 	la	donna	pulisce	la	casa	l'	uomo	no	</S>
e	0.61431922	0.383646415	0.00173437553	0.0001716795545	6.215351525e-05	3.76227821e-05	1.2590223e-05	6.26675145e-06	9.703739e-06
j	0.47499676	0.522652615	0.00192394084333	0.000233609738167	0.000115320986417	3.76119845e-05	1.1786085e-05	1.82051764833e-05	1.02198134333e-05
i	0.35611728	0.636568405	0.00667628994778	0.000423901476056	0.000139214222139	3.98156653e-05	1.1454256e-05	1.85612846478e-05	5.11252904443e-06
n	0.213887113333	0.776782968333	0.00862573618259	0.000491175268685	0.000133846460713	4.13153962e-05	1.21674795333e-05	1.82919107026e-05	7.37044748148e-06
è	0.127394553978	0.859954956111	0.0115204132609	0.000849186799562	0.000157088123571	7.50011131667e-05	2.21120260444e-05	1.81934756675e-05	8.50442672716e-06
k	0.102020437526	0.86819558537	0.0257085444203	0.00327186616652	0.000645315777857	9.78594643889e-05	2.60912063481e-05	3.00333989892e-05	4.30853687572e-06
a	0.092304704342	0.61340626179	0.268252191473	0.0210283223888	0.00270703562595	0.00109322007813	0.000654692021116	4.81055246631e-05	0.000505470878359
p	0.143689903281	0.421876900597	0.390922530491	0.0353198614629	0.00474491837532	0.00149477197604	0.000904295183705	0.000304363251554	0.000742393119453
u	0.16084329446	0.324630666866	0.420544400164	0.077044791821	0.00952388945844	0.00549693164201	0.00115168887124	0.000390518312851	0.000373771236484
l	0.0571623218533	0.171673588955	0.612244556721	0.131282657274	0.0177433388195	0.007164428514	0.00182105602375	0.00040210329995	0.000505993848828
i	0.0224459787698	0.0915993086517	0.62504304224	0.209097919091	0.0343265929398	0.0118757524713	0.00444907897458	0.00041620778665	0.000746179216276
z	0.00958986407527	0.0415422892172	0.55159515408	0.317082266364	0.0589596819799	0.0139087807571	0.00570950932486	0.00045972351555	0.00115274227209
z	0.00675469189176	0.0840320537391	0.418948668027	0.374166602121	0.0996788639933	0.0091938361857	0.00428221844162	0.00189735507185	0.0010457307877
è	0.00377271423225	0.0910980974797	0.247632406009	0.463986660707	0.146561184664	0.0328257113952	0.0112308598139	0.00218148946395	0.000710930459567
i	0.00188476217908	0.0331881103932	0.126450845336	0.505661473569	0.157004714888	0.138052085465	0.0344460396046	0.00119232456132	0.00211967345319
o	0.00250328569303	0.0169143957977	0.0597629874453	0.46162113119	0.145762534963	0.263869775155	0.0455112915349	0.00138531358711	0.00266926755106
s	0.00271682846434	0.0102336989992	0.0397517481484	0.432356377063	0.250018111654	0.217439967385	0.0419813211783	0.00290676532904	0.00259516368369
p	0.00514525245478	0.0395722460664	0.0357640847161	0.327397522354	0.451343393885	0.0989103301283	0.0305152951928	0.00917359070968	0.00217826938456
ì	0.00543461476826	0.0493872502555	0.021559639072	0.209704157451	0.461833884628	0.193908998709	0.0459162441976	0.0103711920699	0.00188402045152
t	0.00232594470609	0.0177450492185	0.00998904775733	0.183335352484	0.500073348209	0.223726062903	0.0543220847325	0.00673505128997	0.00174810154917
i	0.0012257587897	0.00658881620617	0.00570290446911	0.127578179495	0.43440283407	0.317958407634	0.0975567515775	0.00549502036332	0.00349135378172
o	0.00100867558423	0.00386472176872	0.00216791260304	0.047305443165	0.179230485023	0.568457489211	0.178293237193	0.0111337259544	0.00853830626057
à	0.00140979759474	0.00512026638957	0.00124861876435	0.021396012055	0.117128990674	0.57703918307	0.200658472398	0.0643378619848	0.0116608000869
n	0.0312186766649	0.0160948484632	0.00814314468812	0.025664132685	0.159079403558	0.402805411023	0.151482880799	0.191403490662	0.0141080286956
t	0.0529185102216	0.0284687728211	0.0138367812294	0.0320319055617	0.144506757853	0.401292053674	0.0995130902663	0.216612263554	0.0108198590652
r	0.0307953036739	0.0236204672737	0.0092886653098	0.0240081708539	0.0776888892843	0.530771597891	0.127881053422	0.171653117851	0.00429268882173
e	0.0112760101346	0.0114735197912	0.00420441637993	0.012945862418	0.0417262084948	0.399434889297	0.331523877807	0.163794169284	0.0236209949072
p	0.0047923316882	0.0047274066304	0.00191481020331	0.00604771383933	0.0224267115649	0.178593147099	0.359583020936	0.388957853095	0.0329569836357
o	0.0029793638294	0.00434106521013	0.00187816643444	0.00426126211311	0.0168163050883	0.083943065033	0.247473078645	0.619489474365	0.0188182448786
d	0.0026631554098	0.00462117147004	0.00208491387815	0.00380178030437	0.0119964642628	0.0482231616777	0.209201947548	0.701943374788	0.0154640259595
è	0.00218561787993	0.00269733215668	0.00145823949272	0.00307469121479	0.00900562585427	0.0204960405592	0.113234380516	0.831365241596	0.0164828056532
g	0.00329103506998	0.00248984998556	0.00102872539757	0.00237093291826	0.00528251405142	0.0203111455197	0.0861927285053	0.855298080532	0.0237349872177
g	0.00705771092333	0.0126990803285	0.00507573389919	0.00581357570609	0.00901019468381	0.0190979021399	0.0726212355018	0.798091926844	0.0705326100726
h	0.0300543639744	0.0689219391095	0.0236973662997	0.0119071105687	0.0131626142279	0.00976714667997	0.0934068195006	0.668415892281	0.0806666920242
e	0.0388718743248	0.0865383263698	0.0268251888666	0.0107142388562	0.00986360157597	0.00661136072666	0.0954882765002	0.51151248076	0.213574602675
</S>	0.0263938366624	0.0575833231849	0.0154310195833	0.0062918099281	0.00589004853799	0.00414059461333	0.0697716232501	0.43689694038	0.377600766337
