 	l'	ho	sentito	quando	veniva	</S>
t	0.8513479	0.09510384	0.030553131	0.0053105935	0.017315817587	0.00036869834
o	0.574814643333	0.19006108	0.209755455667	0.0073875865	0.0174202487723	0.000560930713333
n	0.233645763111	0.182505363333	0.401307698556	0.130811672167	0.0512804958341	0.000448991559111
ì	0.084221904037	0.0939974567777	0.569327266185	0.189308102056	0.062944315178	0.00020097255537
k	0.190899122346	0.0740195899259	0.604882175395	0.091175680352	0.038935801626	8.764273279e-05
u	0.225003578582	0.059535816642	0.586729925132	0.0938504884507	0.0346281492087	0.00025206591093
s	0.093533202994	0.033622229214	0.458575853711	0.0983923761502	0.315126991736	0.000749355336977
a	0.0495320737647	0.023716599738	0.17692392657	0.31110893205	0.420870559579	0.0178479149123
m	0.0189504290216	0.0256120509127	0.0808934484567	0.65706103735	0.19254380886	0.0249392398374
ò	0.00858941346053	0.0178720941376	0.0295190207522	0.709044659117	0.16643070962	0.0685441114791
t	0.00734384894018	0.0165927268792	0.0159576175841	0.549791626372	0.32858091654	0.0817332880597
t	0.00862832104673	0.0232046666264	0.0103322816614	0.294476343457	0.635364955513	0.0279934880866
e	0.00480146422224	0.0182263104088	0.00410892048713	0.156546005819	0.731577178504	0.0847401571955
è	0.00177665934408	0.00680517904627	0.00165277015571	0.11579686094	0.760488336168	0.113480200065
r	0.00335365191136	0.0154016873921	0.0034494709119	0.05242184398	0.875522512056	0.0498508140217
k	0.00475910783712	0.0213903121307	0.00411708417063	0.0243577785433	0.926271970685	0.0191036900739
a	0.00261198276237	0.0108123109102	0.00169345484688	0.0129669243978	0.788203340228	0.183711935758
t	0.00726043287079	0.00984721917007	0.00181044193896	0.0110496727993	0.691621896743	0.278410323919
o	0.0088251554136	0.00954058519002	0.00183824216965	0.0103170485998	0.669616465581	0.299862509973
</S>	0.0045903228918	0.00543897979501	0.00121655326983	0.0121761072999	0.57661273279	0.399965304987
