 	vogliono	girate	</S>
t	0.9965921	0.00292568861	0.00048219942
è	0.99591691	0.00365547777	0.000427623123333
l	0.996986033333	0.00263384952333	0.000380132654444
u	0.771690341111	0.149111252441	0.0791983821515
n	0.52944219037	0.362381484147	0.108176303384
e	0.358932375123	0.574474211382	0.0665934317947
v	0.214585903374	0.729993470461	0.0554206602649
o	0.150576423358	0.80616885682	0.043254727755
t	0.054626926686	0.908482952273	0.036890082585
i	0.0219911118287	0.895425950758	0.0825829048617
m	0.00815037270957	0.894100083586	0.0977495429539
m	0.00350497613652	0.957654561195	0.0388404786513
è	0.00225231277884	0.719771647065	0.27797609255
n	0.0218402202596	0.590453009022	0.387706837517
e	0.0281657782532	0.535765209674	0.436069042506
</S>	0.0149298693766	0.356638664837	0.628431456253
