 	e	forse	è	entrato	dalla	finestra	il	ladro	</S>
c	0.490315155	0.479078945	0.0018164856	0.02844959747	0.00017709684	3.89847035e-05	2.0093332e-05	9.88601704e-05	4.76586735e-06
e	0.271821891667	0.691037648333	0.0072152423	0.0289881606567	0.000745581103333	5.71160058333e-05	2.26859156667e-05	0.000103113720133	8.54604478333e-06
f	0.189132980556	0.773260172778	0.00892198526667	0.0275344727189	0.000942848421111	8.76798519444e-05	4.43841412222e-05	6.23268953777e-05	1.31565859278e-05
ò	0.092832298852	0.851246734259	0.0246521495889	0.028449088373	0.0026026141937	0.000105014507315	5.25810640741e-05	4.58156551259e-05	1.37233296426e-05
r	0.0490710316173	0.897961248086	0.0315115611963	0.017743082591	0.00326622703123	0.000329745595772	3.2022244358e-05	7.59705463753e-05	9.1631068142e-06
s	0.0431613952058	0.925512689362	0.0130876445488	0.016443767197	0.00129856157674	0.000380334242257	1.83062508193e-05	9.40597131251e-05	3.33429176307e-06
i	0.0276034121019	0.775078859787	0.154070372333	0.016048179399	0.0262270677919	0.000413396241086	0.00010519657864	5.31328387084e-05	0.000400483508479
è	0.0093443923973	0.564750313262	0.303460004111	0.078491307133	0.0415163585973	0.00147136659703	0.00026867809288	3.50037185695e-05	0.00066264547616
n	0.0414262267958	0.513290474421	0.210892299704	0.148276279044	0.0379111208658	0.022460462399	0.00107795764096	0.0242867639919	0.00037845542072
a	0.0520877399953	0.343182634474	0.244050384901	0.122375045681	0.171525808955	0.0313875047997	0.00217850094699	0.0324531391806	0.00075925946224
m	0.0184367331951	0.155446621158	0.255385271634	0.33027878456	0.206562848652	0.0186990072666	0.00219338278233	0.0117450171102	0.00125233118741
b	0.00730669670503	0.0936788220527	0.094447877878	0.693572574853	0.0893648365507	0.0133626532889	0.00237412452744	0.00507924693673	0.000813178336937
ì	0.00256070906934	0.0349454651176	0.0436430419593	0.607628854951	0.29205882685	0.011033195963	0.00384668897581	0.00204192339724	0.00224129978678
k	0.00410555835078	0.0557026844725	0.0298141656531	0.34919701165	0.461333612283	0.079088174321	0.00653392279194	0.0114827305174	0.00274212922226
e	0.00465911427026	0.0628407644242	0.016781694551	0.211621343883	0.522364370761	0.139240834774	0.024258065264	0.0160644135058	0.00216938070075
à	0.00169681571009	0.0223033339081	0.0103363221837	0.234091791294	0.492840773587	0.183016018258	0.0419472817547	0.0109671431686	0.00280048070025
t	0.0012717382367	0.0118396719694	0.00962306639457	0.267350087098	0.313448421196	0.347183782753	0.0377015072516	0.0097938979562	0.00178780728108
t	0.0237493109456	0.0333219418231	0.00909334293152	0.159709159033	0.252566467065	0.423377344251	0.0294176010839	0.0681184408854	0.00064640829136
i	0.0306647093919	0.037557479741	0.00632148271051	0.0949808803443	0.203098219022	0.38898424475	0.139482995695	0.0873681058618	0.0115418940471
f	0.0106114537406	0.014021575547	0.0121336351702	0.0435478279814	0.154589306341	0.523903851583	0.192051925232	0.0337337245206	0.0154066822024
i	0.00395914931353	0.006266933749	0.0139720800901	0.0225886608605	0.089861245447	0.499963130528	0.319406601744	0.0322179118402	0.0117642432541
n	0.00186663680451	0.00338574921633	0.02124827773	0.0141924765868	0.0467039928157	0.464087576843	0.401554990581	0.0340482546134	0.012911993418
è	0.00115689947817	0.00223481903878	0.02357101261	0.00848536982893	0.0269277611052	0.408209538948	0.396868620194	0.116386268871	0.0161596714727
s	0.00051400904939	0.00146827795293	0.00917030010333	0.00636847695631	0.0127807928017	0.242705749649	0.530398140065	0.181838419624	0.0147558327176
t	0.00413878319646	0.0145948125243	0.00517919380111	0.0027256274321	0.00801081600057	0.181490043216	0.410999561355	0.367257866541	0.00560329386587
r	0.00540880216549	0.0196918750081	0.00393740826704	0.0026515461107	0.00521742280019	0.0808735957387	0.406149301785	0.472278058847	0.00379194402196
a	0.0020867360385	0.00922746833603	0.00472902002235	0.00957549290357	0.00454040270006	0.0358261839129	0.435763517262	0.361448512949	0.136802639007
o	0.00148835229617	0.00604023114534	0.00459257944078	0.0111666695345	0.00302823286669	0.0136870315243	0.214699922754	0.55110012765	0.194196839669
l	0.00383446349872	0.00757382458178	0.0191100624136	0.0045229488115	0.0023007193889	0.0362506847281	0.186897894585	0.598253565883	0.141255803223
à	0.00403602910957	0.00745408629393	0.0242793715045	0.00514592283717	0.00225517642963	0.0438258749894	0.177979593528	0.590105598628	0.144918297741
d	0.00202429361319	0.00337353653131	0.00927691613483	0.00505900704239	0.00115219942321	0.0157576639431	0.068337783176	0.765514576209	0.12950398258
r	0.00181480137106	0.00966600084377	0.00564302897828	0.0187154999441	0.00185711168774	0.0194041368477	0.0907885710587	0.754579158736	0.0975316641933
o	0.00126298187702	0.0130645564146	0.00626975165943	0.044843866648	0.00277058996258	0.0200541226492	0.0932002484196	0.504917986245	0.313615861398
</S>	0.00082681826851	0.0089859439073	0.00652037582971	0.054793878324	0.00265525108129	0.0105557438746	0.0475847113098	0.302999343122	0.565077900699
