 	entrò	da	qui	</S>
m	0.99258172	0.0038998163	0.003458059744	6.03848665e-05
b	0.75246942	0.0807173756333	0.166687826348	0.000125358064833
ì	0.36729475	0.405622048544	0.220230523783	0.00685261402161
k	0.26880626	0.524855282848	0.197120189594	0.00921821504054
e	0.2131641309	0.475149337616	0.238394666531	0.0732918543802
a	0.0760730582	0.381119848539	0.375497268844	0.16730983146
p	0.0422266664	0.140664799046	0.641524722948	0.175583817153
ò	0.0281204521	0.050606474882	0.602663340983	0.318609739051
t	0.012146425	0.027687013294	0.633580113661	0.326586467017
t	0.00657364116667	0.0187756514447	0.858329304554	0.116321430326
u	0.00269488149556	0.00659237191157	0.626544751185	0.364168030762
</S>	0.00156937465778	0.00346305258078	0.325134350092	0.669833265381
