 	nella	pasta	vuole	sale	</S>
s	0.990988325	0.0076282953	0.00022289902	0.0011590532194	1.421289985e-06
t	0.983947008333	0.0130799607667	0.00070943688	0.00226281790647	8.00202651667e-07
i	0.805681302778	0.183388914922	0.00772860516	0.00277935636882	0.000421846151851
p	0.427091929259	0.242525268307	0.0466124310533	0.28288476609	0.000885587650617
à	0.164159440086	0.405913852769	0.0536729682178	0.375631918263	0.000621810852539
s	0.070715366662	0.684555084256	0.0913290239393	0.153189033988	0.000211503735246
t	0.0254683350207	0.762476828085	0.112986640313	0.0989959056627	7.22915082153e-05
a	0.0112002148402	0.606923382695	0.293641105771	0.0629990278876	0.0252362928171
t	0.00524332143007	0.260139448565	0.57442228859	0.126223965963	0.033971007139
è	0.00206420432669	0.106891530522	0.707423602863	0.168260266988	0.0153604022463
l	0.00095842353423	0.0541521513407	0.824993387621	0.111005553996	0.00889048063543
i	0.00143874863674	0.0239357650469	0.687728595874	0.170056951332	0.116839916432
à	0.00196625164558	0.011059871349	0.371824781958	0.443502737111	0.171646347811
l	0.00131246098186	0.00813035801633	0.300535923986	0.613600495704	0.0764207747703
a	0.00293424072729	0.00506199942544	0.248747618995	0.475417331901	0.26783881809
</S>	0.00480442686364	0.00271583284272	0.133119555997	0.36234459095	0.497015589045
