 	devo	comprare	il	pane	ogni	ogni	giorno	</S>
è	0.767856285	0.225312769	0.00632405665	0.00033081335	9.316989e-05	4.447715e-05	9.1240612e-06	2.93397465e-05
n	0.450116884667	0.540997199667	0.00578369821667	0.000268877516667	0.00013877806	8.23511233333e-05	0.00246023448807	0.0001520090065
a	0.194356854556	0.797216009889	0.00461415440556	0.000144300495556	0.000129174271	8.21657761111e-05	0.00327327753236	0.000184059324167
v	0.107227487852	0.885632003296	0.00569361196852	8.5829311852e-05	6.8545492e-05	3.1922511837e-05	0.00119606818045	6.45110844557e-05
o	0.0734577056173	0.912135601099	0.0133680151562	0.000223605093951	0.000239087781333	4.6220432079e-05	0.00050617271915	2.35980413852e-05
r	0.0696550205391	0.799939367033	0.115494856385	0.00868086616465	0.00320741027044	0.00112640515403	0.00094525333205	0.000950847772628
à	0.0423716731797	0.515070765678	0.369037645462	0.0398177037215	0.0242868110901	0.00620058398468	0.00119505645068	0.00201975122421
s	0.0279815443932	0.253611688559	0.636339215154	0.0420404814072	0.03046458003	0.00701035226156	0.00105455795689	0.00149755992807
o	0.0155214947311	0.128240506853	0.785591558385	0.0398898219691	0.02425415301	0.00410212445385	0.000923170932297	0.00147715156269
o	0.00634419417703	0.0478466202843	0.642369839462	0.108195925323	0.145750391003	0.0427031152513	0.00125160499077	0.0055382833209
t	0.0204135863923	0.0213534204281	0.493288913154	0.163453218441	0.225148503668	0.0593785517504	0.00915600106359	0.00780778730697
s	0.0287979314641	0.0217297098094	0.636350971051	0.124446602814	0.146335683223	0.0265487599168	0.0113473613545	0.00444298957099
o	0.0140206914614	0.0177102857665	0.50866533235	0.207049427605	0.219444619741	0.0257566816389	0.00446606461817	0.00288690569233
m	0.00956763546047	0.0064497860855	0.24854493945	0.317578875868	0.367093089914	0.0370007128796	0.00920754003939	0.00455741846411
ì	0.00805200237016	0.00271167059517	0.155302485817	0.325783375289	0.448171039971	0.0439474386265	0.0108086952798	0.00522332058804
k	0.00594905367339	0.00129261843172	0.0622028342723	0.23957775543	0.57628862999	0.0589187338755	0.0512216370266	0.00454877062935
u	0.0053436788578	0.00079272715724	0.0262258251241	0.18246921881	0.564584669997	0.143532537958	0.0695858320089	0.00746551920978
à	0.0021122044726	0.00036998762908	0.00948057640803	0.21870784627	0.377099069999	0.212998432653	0.165477027003	0.0137548640699
i	0.0026056440442	0.00029721392636	0.00336198162601	0.14777588209	0.255533673333	0.243954684218	0.301017599001	0.0454533330233
k	0.00453061801473	0.00029000686212	0.00266716859867	0.06424493413	0.198427587778	0.194586896073	0.481105183	0.0541476126744
u	0.00372487148491	0.000297087000707	0.00289921809956	0.0296378054767	0.126565152593	0.210497880024	0.582961064333	0.0434169338915
à	0.0015552592283	0.000237607896902	0.00153379376452	0.0170867583922	0.0584004938977	0.212608771008	0.667973174778	0.0406041379638
i	0.00217052182943	0.000244035038967	0.00054526616784	0.00638815063073	0.0211402613326	0.095095836336	0.807933224926	0.0664826813213
m	0.00357336010981	0.000258254369656	0.000407131570947	0.00363161167691	0.0119395754442	0.0547792427787	0.848078641642	0.0773321581071
è	0.00248657335327	0.000149345426552	0.000430416756982	0.0027619342923	0.00799719564807	0.0268914182596	0.912141647214	0.0471414537024
r	0.00132099846776	0.000278186265517	0.000253122371327	0.00163848004077	0.00371942334936	0.0165489224199	0.944027795738	0.0322130669008
i	0.00120327326592	0.000660544008506	0.000849649776109	0.00154571369026	0.00254917444979	0.0092538619733	0.718536271913	0.265401507967
</S>	0.00103068474796	0.000877637854253	0.00155403303805	0.00186260074513	0.00232148877489	0.00763525073665	0.474327675956	0.510390623983
