 	non	ha	da	mangiare	</S>
e	0.62272287	0.35454601	0.020428364	0.00071493837	0.0015878917
n	0.369750290567	0.296102219333	0.0155213475333	0.317271839323	0.00135435768333
è	0.129409790756	0.404120069111	0.0403931133778	0.425424204774	0.000652847627777
c	0.0489754066187	0.433417489704	0.0476452427093	0.469711936591	0.000249947594926
h	0.0223810859062	0.312282336568	0.0797190304864	0.585460688864	0.000156869197309
i	0.0147647093021	0.284007121523	0.313878533495	0.370753176288	0.0165964347291
n	0.0164950247674	0.116073319174	0.328203236063	0.516972372096	0.0222560460964
a	0.0156147187891	0.0407505895247	0.118520020919	0.738958190699	0.0861565072188
f	0.011387199463	0.0163462433082	0.049120935973	0.794108063566	0.129037592406
à	0.00968289787267	0.00777251577273	0.0182205697577	0.868668487855	0.0956555274687
i	0.00398056950922	0.00272169420091	0.00766117855257	0.697379129285	0.288257399156
</S>	0.00309602950461	0.00145940801046	0.00423147807629	0.508755514643	0.482457549578
