 	non	mangiare	la	sera	</S>
m	0.053995583	0.92815488	0.00105600585	0.016708891625	8.460641e-05
i	0.0770747783333	0.893312493333	0.0114471505167	0.017979966675	0.00018555146
f	0.0663029456778	0.908318891111	0.0170146327056	0.00811868329167	0.000244814233333
a	0.0896207947926	0.69182021037	0.201308646102	0.0155943483639	0.00165601520111
i	0.105050519264	0.306631643457	0.432846095367	0.137370082788	0.018101651067
o	0.0702905754213	0.121242817152	0.447683965122	0.319078517596	0.041704137689
v	0.0866946564738	0.268147858384	0.330902578374	0.275753686532	0.0385012642297
r	0.0676469130913	0.327009342795	0.473247506125	0.110853083511	0.0212431887432
à	0.0259553648638	0.122779154165	0.533348505375	0.272926858504	0.0449901259144
i	0.0215492211879	0.0419115221883	0.258103960792	0.555054486168	0.123380818638
</S>	0.027668675594	0.0217540574442	0.154243348896	0.623730993084	0.172602959319
