 	vuole	vuole	mangiato	caldo	</S>
t	0.9438373	0.05575096255	0.0003682221	1.80900745e-05	2.5381881e-05
è	0.93307835	0.0662942915167	0.000564172136667	2.05920451667e-05	4.25545376667e-05
l	0.880529046667	0.118747239839	0.000666373732222	1.17505750222e-05	4.55469494222e-05
i	0.611983255556	0.375629936613	0.00761988154407	0.000326288672974	0.00444063953667
t	0.291275463852	0.685671892204	0.016666450848	0.000453949212325	0.00593223473389
è	0.115830663284	0.834214410735	0.0437427732827	0.00110500652544	0.0051071104663
l	0.0541629077613	0.837504736912	0.102166335761	0.00134411744515	0.00482187298877
i	0.0315047018538	0.613260445637	0.302571175254	0.0125317944851	0.0401318194963
f	0.0213315242179	0.434528981879	0.473388278418	0.0174472007284	0.0533039304988
a	0.0178297417726	0.32138540996	0.590039769473	0.0387258094761	0.0320191808329
m	0.00931705529087	0.148489492653	0.743879036491	0.0648544711587	0.033459908611
è	0.00628129702029	0.0780469202177	0.765636235497	0.0909734650529	0.059062082537
n	0.12056184893	0.0671655427392	0.572888961832	0.106807628351	0.132576010846
o	0.158866823843	0.0600989164131	0.294658010611	0.249466096117	0.236910170282
t	0.129832385481	0.0281447143044	0.202480053537	0.317394172039	0.322148700094
r	0.122028222827	0.0281868414348	0.307435874512	0.303004337346	0.239344745031
e	0.0430730037757	0.0205834489949	0.269937044837	0.454873485782	0.211533053344
m	0.0166726698919	0.0076215072483	0.104855476279	0.605285728594	0.265564664448
m	0.0099669610973	0.00722572398277	0.071074200093	0.739357076198	0.172376066149
ò	0.0070282434991	0.00670196741092	0.0487885558977	0.575746342066	0.361734883383
</S>	0.00570314494955	0.00372828908046	0.0250053317489	0.349259346033	0.616303871692
