 	Marika	non	ha	mangiato	mai	un	rustico	</S>
e	0.99452428	0.0031288191	0.00120693945	0.00064195494	0.0003618110785	4.101839e-05	4.6032118e-05	4.9139307e-05
M	0.915593146667	0.00277448736667	0.0156931647833	0.01293084834	0.000136230993833	9.071201e-05	0.052745826668	3.55680856667e-05
à	0.861537568889	0.0241296887889	0.0250547835944	0.01852497618	0.000315326646611	9.13872633333e-05	0.0703074862317	3.87600518889e-05
r	0.688953112963	0.089642906263	0.0884639255315	0.08524662746	0.00037877985487	0.000774816574444	0.0464934727529	4.63430806296e-05
i	0.335779780321	0.308261475421	0.17606391851	0.130142612487	0.00661583225762	0.00196724532481	0.0389778000176	0.00219131796688
k	0.122698518707	0.338615876807	0.253059652837	0.203970500829	0.00868736861421	0.00197903970827	0.0680686024392	0.00292042024563
a	0.0431839283357	0.178792467269	0.363023320946	0.31704157361	0.0157725363997	0.00214250780276	0.0777589973131	0.00228466200521
e	0.0165980631786	0.117131783423	0.402254436982	0.333567531203	0.0240384767999	0.0710380717343	0.0319654356044	0.0034061795684
n	0.00762879529287	0.050700274141	0.289056675661	0.468361260401	0.01405065176	0.0951274765781	0.0706569618681	0.00441789718947
è	0.00380537073096	0.022048291047	0.194700281887	0.628403723467	0.0273357544133	0.042142888526	0.0781165244894	0.00344719784982
f	0.00189610444365	0.011413411549	0.158459140629	0.681141771156	0.0316596466778	0.0313985585087	0.0827954120298	0.00123598294661
a	0.00126947714788	0.00672540094967	0.0901120978763	0.570713123719	0.208910067433	0.0322772338362	0.0857841313433	0.00420846162554
m	0.00208959348263	0.00823505088322	0.0503884666254	0.467447117906	0.269954393044	0.0666901802787	0.124151544448	0.0110436382085
è	0.00217433335754	0.00870533596107	0.0299912792085	0.414147302635	0.320552381581	0.0748345527596	0.136603313349	0.0129915057362
n	0.0147986753158	0.0101300263204	0.0196191722362	0.251707737545	0.340990608194	0.100328203587	0.251401462983	0.0110241182454
a	0.0190159748386	0.00945975817347	0.0107337033454	0.117243931515	0.398842317065	0.141540131196	0.292666113994	0.0104980727485
m	0.0123506670129	0.0136656584578	0.0058280260818	0.0481088228383	0.434084951022	0.165228707065	0.276104944331	0.0446282202495
a	0.010083284411	0.0151637137693	0.0043535840606	0.0254514346128	0.429471095674	0.181312922355	0.27664280411	0.0575211947498
i	0.003692531877	0.00536495997977	0.0020445387002	0.0121347344143	0.433588975225	0.404262297452	0.110741073037	0.0281709529166
a	0.00223912829233	0.00185107278659	0.0007147476234	0.0042104220981	0.180961688742	0.725172432484	0.0703864533457	0.0144640789722
r	0.00391330429744	0.0011439952822	0.000555990671133	0.00257449674937	0.120799716581	0.575884504161	0.188674961115	0.106453030991
ù	0.00416469816581	0.00139297436073	0.000783227077044	0.00269649771646	0.208448772194	0.298021688054	0.323819120372	0.160673013664
s	0.00184632405994	0.00109266058691	0.000889165925681	0.00238627550549	0.186580487221	0.180900922685	0.547823673457	0.0784805053213
t	0.00542057865798	0.00101177559564	0.00126996424189	0.00217741603516	0.0630885572303	0.0741468272283	0.825767777819	0.0271171100071
i	0.00741449245266	0.00237433259855	0.0022411830473	0.00477524677839	0.0451844574101	0.0294311137428	0.683278059273	0.225301114136
k	0.00380000868422	0.00237213625618	0.00207844053243	0.00568942382613	0.0384668991467	0.0137423967676	0.642134219758	0.291716449045
o	0.00566967069474	0.00447541960873	0.00309770322748	0.00863680750871	0.0311442463922	0.0151488121092	0.634833139919	0.296994184015
</S>	0.00870887134737	0.00765636280436	0.00492913041374	0.0134272747544	0.0430380331961	0.0231116150546	0.452661119959	0.446467627007
