 	dovevo	comprare	pane	ogni	giorno	</S>
ì	0.28849333	0.70416055	0.001813915475	0.004491859965	0.0001696303815	0.00087072799
c	0.261802963333	0.735166416667	0.000661868483333	0.00154551374733	0.0005016633915	0.000321559776667
h	0.205468317778	0.793015838889	0.000243930741444	0.000528076131843	0.000626690518833	0.000117102102886
a	0.448241769259	0.55094381963	0.000165221902481	0.000234178577681	0.000243173163944	0.000171821804959
n	0.450066217753	0.54139049321	0.000974109750827	0.00097223429256	0.00631239945731	0.000284545941653
a	0.188262297251	0.800809387737	0.00119099213894	0.00121686417752	0.00832805958044	0.000192397399551
v	0.0910918310837	0.900216205912	0.00271224116831	0.000641104772507	0.00510878005481	0.00022984467885
o	0.0424188750279	0.949591158637	0.00322727857944	0.000488344067502	0.0040344719076	0.000239872219283
r	0.0226847234093	0.922129509546	0.0363149490498	0.00473402486583	0.00548499309187	0.00865180164609
à	0.0175652382031	0.709941313182	0.162796703017	0.0834069746219	0.00921575703062	0.0170740292154
s	0.016531432401	0.678659381061	0.173054049672	0.108748716541	0.0103295943435	0.0126768689051
o	0.009080335367	0.552640599354	0.276134618557	0.132622750514	0.0085892595145	0.020932465135
t	0.00643175292233	0.368324505451	0.361450659519	0.153023558171	0.0864973722382	0.024272116645
s	0.0532379858741	0.541436968484	0.191880422506	0.0752910937237	0.128005927413	0.0101475551983
o	0.0664727809247	0.423042126905	0.283475223502	0.150286424241	0.0621375818043	0.0145858321161
m	0.0226536873416	0.145513709045	0.503742691167	0.211848974747	0.0870260266014	0.0292149067054
ì	0.00801417586153	0.0529675398883	0.553202030389	0.251170631582	0.100668579534	0.0339770532351
k	0.00293952750151	0.0189170234361	0.36876360313	0.237622349527	0.337855987178	0.0339015330784
u	0.00130693855717	0.00763873587203	0.18078220071	0.288323312176	0.454647859059	0.0673009730261
à	0.000516479040723	0.00266280535501	0.119167812237	0.301616689059	0.500903336353	0.075132883342
i	0.000217080807241	0.000929652476003	0.050999921079	0.135262524686	0.727063232118	0.0855275934473
m	0.000185706124414	0.000409220032001	0.030896645693	0.0678353230953	0.805078824039	0.0955942711491
è	0.000139630190805	0.000219692489334	0.0226167715643	0.0386826918984	0.874578821346	0.0637623880497
r	5.7296463935e-05	0.000183405621778	0.0103563870348	0.0268973245328	0.923034207115	0.0394714220166
i	6.04709723117e-05	0.000352067257259	0.00489470242493	0.0126337394109	0.690682875705	0.291376199006
</S>	8.37487461558e-05	0.00047061855363	0.00444103556246	0.0110610297055	0.422740697853	0.561202899503
