 	le	ragazze	vogliono	guardate	</S>
t	0.72819629	0.24218749455	0.0295610590505	3.39159715e-05	2.1200868e-05
a	0.669173726667	0.301012808183	0.0297000363235	4.01483331667e-05	7.32738416667e-05
k	0.664176822222	0.318371119394	0.0172944697478	3.29132103889e-05	0.000124687610556
o	0.410197424074	0.575750539798	0.0137471468493	7.09718301296e-05	0.000233930503519
r	0.187601213025	0.745727463266	0.0633157725498	0.00216619826671	0.00118939645784
à	0.0961265083417	0.786656971089	0.10490246085	0.00450379825557	0.00781031981928
s	0.0537450817806	0.627610943696	0.306311933617	0.00325707792186	0.00907499323143
i	0.0375970063602	0.379807751232	0.481063554539	0.0142904769773	0.0872411940355
a	0.0150462954667	0.233597395411	0.58411933818	0.0328246066591	0.134412311345
t	0.00835673040223	0.086547427337	0.812195959393	0.0262921298864	0.0666076778483
è	0.00633923920074	0.0409462876457	0.883867099798	0.0406789642955	0.0281683223494
l	0.00855533113358	0.0248293783152	0.905734119933	0.0461198607652	0.0147612367598
o	0.00938181117786	0.00976852620507	0.716181659978	0.154691486255	0.10997647923
n	0.0453721011926	0.00504653106836	0.610205053326	0.194956082085	0.144420221743
e	0.0571531819975	0.00340398475612	0.508602191109	0.343841487362	0.0869991592477
k	0.0520990289325	0.00208739608537	0.359649457036	0.472514855787	0.113649249749
a	0.0505926533442	0.00171595592846	0.290673322345	0.519579791929	0.137438246583
n	0.141445228148	0.00209050090949	0.167355440782	0.509430403976	0.179678432194
o	0.171940357549	0.00245169920316	0.123389303127	0.488269174659	0.213949487398
n	0.186608580683	0.00207751863439	0.0745253772423	0.49371268822	0.243075832466
i	0.192422872228	0.0025910691448	0.0580965765141	0.38219078274	0.364698684155
m	0.125954972743	0.00225406750827	0.0339258862714	0.37224112758	0.465623948052
m	0.115205161914	0.00290193882942	0.0328666020905	0.39147148586	0.457554799351
è	0.0528994867713	0.00366996127647	0.0190124284302	0.32907112862	0.595346949784
n	0.0776381440571	0.0176140524255	0.0316882772101	0.144589757873	0.728469733261
a	0.085574246319	0.0222399485085	0.0362729862034	0.0798662409577	0.776046561087
</S>	0.0444160556095	0.0121572408043	0.0194367838017	0.0789836804788	0.845006230543
