 	quando	divento	vecchia	vendo	la	casa	in	in	Trieste	e	vengo	qui	da	vivere	al	mare	</S>
m	0.99513648	0.00459931085	0.000259558515	2.32293595e-06	5.8734617e-07	7.2462849e-07	1.64067875e-07	1.03719803e-07	1.28296292e-07	5.757338525e-08	7.507168e-08	5.51986635e-08	5.55024755e-08	6.05343715e-08	6.43418675e-08	1.1524838e-07	6.5799725e-08
ò	0.98228168	0.0168578155167	0.000841700125	1.47911116167e-05	1.72384655667e-06	1.16123803e-06	2.05118631667e-07	1.07901549667e-07	1.41719355333e-07	5.940370325e-08	1.7276973e-07	4.68429081667e-08	3.98482055e-08	4.42688408333e-08	4.07960841667e-08	1.06357103333e-07	8.8357785e-08
t	0.959103826667	0.0354366021722	0.005302869375	0.000116209997206	1.83326688522e-05	1.65937945767e-05	4.20488893889e-07	4.09961913222e-07	1.79786150178e-06	1.46891994417e-07	1.95310869333e-06	1.85869339389e-07	1.52876345167e-07	2.19751302944e-07	4.39669120556e-08	1.68695441111e-07	8.1171476e-08
t	0.960419842222	0.0318640690574	0.007511157225	0.000151562706735	2.40546627841e-05	2.22765665256e-05	4.2804252463e-07	5.01893004407e-07	2.41666984726e-06	1.48130774806e-07	2.49701037111e-06	2.20886881463e-07	1.77743055722e-07	2.73184915981e-07	3.76218146852e-08	3.63730737037e-07	3.66867211333e-08
e	0.654490721741	0.310952910352	0.0340966228417	0.000375514793245	3.92800007614e-05	1.88172205085e-05	5.29648033488e-06	2.6060481348e-06	2.83242956242e-06	1.33775985827e-06	2.87695543037e-06	9.89356795488e-07	1.02383491591e-06	1.01932376699e-06	1.0192281749e-06	1.15163181235e-06	5.99979009184e-06
j	0.320782448247	0.616467536784	0.0618342709472	0.000645672947748	0.00013053725692	9.69073635028e-05	7.41081674496e-06	3.7443251116e-06	6.77180052081e-06	1.89688498609e-06	7.07006631012e-06	1.47021972183e-06	1.4704826153e-06	1.47996082233e-06	1.43132230163e-06	1.58201147078e-06	8.25995201395e-06
è	0.204411371749	0.680082378928	0.113546873649	0.00155485556592	0.000213303002307	0.000137668626501	1.50952728817e-05	5.2041724372e-06	8.47069250694e-06	1.82794279536e-06	7.31223690337e-06	1.35739126394e-06	1.46642994843e-06	1.39455650744e-06	1.41374404388e-06	1.29667715693e-06	8.65994265465e-06
n	0.099268189583	0.655013122976	0.239158367883	0.00527953565531	0.000921917260769	0.000207276720834	2.26437349606e-05	1.23326908124e-05	2.43516675023e-05	3.61208703179e-06	6.76663381011e-05	2.50220492131e-06	2.86875198281e-06	3.18148583581e-06	1.44888806463e-06	2.17085955231e-06	8.78633472822e-06
n	0.177414916528	0.531226847659	0.283347582628	0.00654142615177	0.00109983526359	0.000211759966278	1.35831214535e-05	1.14830601575e-05	2.75294204674e-05	3.27774851726e-06	8.76015588004e-05	2.28052537044e-06	2.5539864676e-06	3.12991948527e-06	6.27500081543e-07	2.2725150841e-06	3.25860395274e-06
o	0.174839471243	0.392915052553	0.417620894209	0.0132542379839	0.00100954476453	0.000211400128093	4.75785062845e-05	1.60315086058e-05	1.83646921225e-05	5.26811891242e-06	4.15043763668e-05	2.73852122015e-06	2.39527756253e-06	2.77936670176e-06	1.88682187051e-06	1.5330001947e-06	9.25841451758e-06
