 	le	buone	canzoni	si	scrivono	alla	notte	</S>
t	0.72107439	0.27175034865	0.0070457490685	6.78334465e-05	4.20360473e-05	6.9497755e-06	9.43855345e-06	3.28887735e-06
a	0.451346846667	0.537139992883	0.0110617393562	0.000348049598833	6.41039124333e-05	1.61699011667e-05	1.10892404833e-05	1.20478190167e-05
k	0.516480805556	0.473057817628	0.00979997761873	0.000533368516278	7.37645041444e-05	2.46499913889e-05	8.27763282777e-06	2.14010823389e-05
à	0.478109087185	0.513614399209	0.00757971870624	0.000558910965426	6.33837447148e-05	4.48895067963e-05	6.47027324259e-06	2.31779134463e-05
j	0.362476447728	0.589846316403	0.0375026862354	0.00870065207514	0.00131223414824	9.81150455988e-05	4.62285957142e-05	1.73053765154e-05
o	0.323082169509	0.554753552134	0.0965985654118	0.0204843873584	0.00260265078275	0.0015742492652	0.000110156785238	0.000794275484205
t	0.37738457677	0.467046190711	0.128594998471	0.0206354567861	0.00300712449425	0.00208633552173	0.000126762091746	0.0011185570714
r	0.456728958923	0.375539290237	0.131641512824	0.031219545262	0.00322605159808	0.00105428030724	0.000149032780582	0.000441296442467
a	0.214220272148	0.337956712412	0.254079014275	0.164945747087	0.00782574493269	0.0165703533357	0.000450113090194	0.00395200282282
v	0.237049109889	0.122517173137	0.331238764758	0.232738952362	0.0453305266442	0.0238638991119	0.000744281363398	0.00651724877427
ù	0.24465227453	0.048247881379	0.383681681586	0.232527897454	0.0700384655481	0.0160847653706	0.00103189572113	0.00373512099142
d	0.131582596077	0.020964057593	0.367057570529	0.305112379151	0.143677335183	0.0257373544569	0.00287010707371	0.00299860999714
i	0.0942013100923	0.00921992146433	0.20146501351	0.383023319717	0.193761311728	0.107487663152	0.00539689149124	0.00544458459905
a	0.0323447917641	0.00427641401478	0.107100107837	0.344098563239	0.332122110576	0.157194177717	0.0177431172971	0.00512074326635
i	0.0120650768547	0.00156926229493	0.0463068036123	0.19270220108	0.602265986859	0.113401115906	0.0292431254324	0.00244646133878
g	0.278168594885	0.00210002076164	0.0211232913708	0.0944168756933	0.490144453953	0.070942609302	0.0206974519441	0.0224067226296
r	0.382128824962	0.0132020326872	0.0164001829569	0.0390359488978	0.187301137184	0.174240823767	0.0357767977814	0.15191425421
à	0.144924615321	0.0180617472291	0.015874598319	0.0297804012993	0.177806139928	0.259472544589	0.164169885927	0.189910044737
f	0.0516863007737	0.00873434510637	0.00871700133967	0.0296264327664	0.220896179976	0.336991044863	0.261247621976	0.082101070079
u	0.0199290041246	0.00528334653212	0.00432181891322	0.0199784995888	0.125511093825	0.520537348288	0.246359620659	0.0580792685263
t	0.0168805169082	0.00412134018937	0.00250518113774	0.0159797195296	0.0644453184417	0.448912826096	0.397380846886	0.0497742364088
t	0.113148375969	0.00617070494179	0.00202068964591	0.0280982691765	0.0426381122472	0.307711872032	0.479034938962	0.0211770198696
e	0.136898566523	0.0101777469806	0.00237750654864	0.0265679368922	0.0195801818491	0.236566452677	0.400691729654	0.16713985079
a	0.056772470041	0.0137835223269	0.00464453218288	0.0105305078641	0.030809842283	0.124877338226	0.486626403218	0.271955363597
t	0.0639726400137	0.0117120983156	0.00484431032763	0.00635523978803	0.037620739761	0.0801272314087	0.591241634406	0.204126101199
s	0.0807103100046	0.0055325001452	0.00192142601921	0.00693552836268	0.0205315342537	0.0801441821362	0.625439444802	0.178785057066
è	0.0568544563349	0.0106486505484	0.0027614455164	0.00534252105423	0.00981512175123	0.0554540694787	0.568068714934	0.291054985689
n	0.0254267978783	0.0110160448828	0.00287444251213	0.00435301875141	0.00729293158374	0.0207433848596	0.650776304978	0.277517065896
ì	0.0109302793928	0.0102678996609	0.00193942547738	0.00412182255047	0.00641895369458	0.0082135790532	0.647947621659	0.310160439299
t	0.0100405584643	0.00981955313363	0.00160916008413	0.00295508088349	0.00720909406486	0.0067155441844	0.64395702722	0.317693968866
t	0.0245747948214	0.0131609556245	0.00348827445304	0.0046561484945	0.00895243335495	0.00724267296147	0.764089109073	0.173835582055
a	0.0298524452738	0.0285248948748	0.00515822275101	0.00446257786483	0.00591197865832	0.00394975882049	0.493909356358	0.428230760685
</S>	0.0229245421369	0.0356796609374	0.00417946477551	0.00253643348241	0.00319061113916	0.00215002131025	0.259700658179	0.669638605342
