 	lo	posso	finire	di	fare	</S>
t	0.77450545	0.22345919	0.0011650202	0.00022417538	0.0005633873135	8.27766925e-05
o	0.560404093333	0.433486213333	0.0051002952	0.000333560896667	0.000571445921167	0.000104414340833
s	0.262848540444	0.720851854444	0.0147772520667	0.000568853198889	0.000764949357056	0.000188583200278
ò	0.104837868815	0.846212018148	0.0464994356889	0.0013359616163	0.000823532957352	0.000291229426759
z	0.172444955605	0.707619466049	0.108334381896	0.00169694330543	0.00961173219078	0.000292557675586
o	0.192533548502	0.43718499535	0.337450460632	0.0140482707018	0.0126617483369	0.00612098425853
s	0.096067031134	0.412464635117	0.448895253544	0.0192647565673	0.014331642719	0.00897667275284
p	0.0841870687113	0.338553706706	0.382400671181	0.0993092271891	0.0915101739063	0.00403915872095
i	0.0487340960818	0.120151637735	0.54668307706	0.169323379063	0.107546695035	0.00756110571032
c	0.0202032258719	0.082730129745	0.723761925687	0.110498522021	0.0451624164117	0.0176437669034
c	0.0191172699573	0.0705516920483	0.520320609896	0.128824759674	0.244914439804	0.0162712448678
è	0.0149973193858	0.0254090919494	0.306476071299	0.303849953225	0.315534733935	0.0337328581893
t	0.00675739466193	0.0134297007831	0.519066670433	0.281205577842	0.141223300645	0.0383173747131
s	0.0499124910206	0.00914058516103	0.524370343478	0.111642012714	0.291696802215	0.013237751621
i	0.0627548031002	0.00397488028701	0.246170651159	0.303776447571	0.324841288405	0.0584819119403
t	0.0221164221601	0.00552112376234	0.32002022372	0.370174672524	0.203612050468	0.0785554796468
s	0.00907967765337	0.00587444085411	0.332438472573	0.197981287508	0.422754666823	0.0318714144489
è	0.00364140218446	0.00268962905137	0.123941354724	0.237515569169	0.486767888941	0.145444130383
k	0.00183721136149	0.00230070528379	0.0584641424413	0.201771297723	0.53877913298	0.196847514794
à	0.00122114633716	0.00212603102793	0.0344568647138	0.0906984059077	0.731533430993	0.139964132931
m	0.00124783426239	0.00278959184264	0.0185166611379	0.0515928809692	0.813029010331	0.112824037644
i	0.00126194065746	0.00333672048088	0.0133195045793	0.0259058443231	0.671066536777	0.285109472548
</S>	0.00073665043373	0.00292428554044	0.00733677258965	0.0184364026615	0.465447318389	0.505118586274
