 	vestita	la	figlia	l'	avevo	portata	alla	chiesa	</S>
n	0.98882145	0.0102130386	0.00092558665	2.52790335e-05	2.01498285e-06	6.32614775e-06	3.545259115e-06	5.84782215e-07	2.18641709e-06
d	0.984981096667	0.0142278689333	0.000722322316667	4.38700278333e-05	4.73912251667e-06	1.72422704167e-05	1.68010948167e-06	2.79335305e-07	8.9035039e-07
ì	0.768288068889	0.194912325644	0.0357489237722	0.000813060655944	0.000167982997506	4.84518911389e-05	8.44622119389e-06	2.26132305833e-06	1.048918993e-05
s	0.606324746296	0.344325385215	0.0479485096907	0.00103985867781	0.000221687048835	0.00011285335238	1.04730261246e-05	2.86718533511e-06	1.36308859187e-05
o	0.438862505432	0.416684178405	0.140301981664	0.00335450701844	0.000590201765945	0.000158212134127	1.62381841015e-05	2.5287114607e-06	2.96435809149e-05
n	0.233733991811	0.575112376135	0.185623408555	0.00423864773948	0.000776392151982	0.000443920741376	2.06536320338e-05	3.78848552023e-06	4.68197036383e-05
t	0.209616160604	0.702513058712	0.0852519018517	0.00165655574649	0.000343496357994	0.000578439963792	1.00434156113e-05	2.84986842341e-06	2.74936127028e-05
a	0.116936744738	0.572412806237	0.292984701617	0.0162975960155	0.000884063796665	0.000367005787931	4.19651981371e-05	3.3457240578e-06	7.17721023909e-05
t	0.041183642616	0.479233175412	0.455157677206	0.0217293024052	0.00129611173222	0.00118031847931	6.4035577379e-05	5.0576933526e-06	0.00015065667413
i	0.015921707992	0.415708858471	0.523085515735	0.0420263395351	0.00148831764407	0.00149913668644	0.00010244361246	5.95828671753e-06	0.000161681891377
k	0.00724065415067	0.233595832824	0.699363395245	0.0541374885117	0.00243559181469	0.00256898042215	0.000210672317487	1.49131017058e-05	0.000432420530459
i	0.00435785418689	0.149558895941	0.724052698415	0.108453561504	0.00910637043823	0.00343765004072	0.000487302862496	2.19008395686e-05	0.000523763470153
a	0.00183350386563	0.0566438219803	0.572041576138	0.275625107168	0.0696589711461	0.0199765749136	0.0036085811875	0.000234131538856	0.000377769836718
t	0.00111847505521	0.0323510079934	0.565905768713	0.270650204056	0.086967732382	0.0368710203045	0.00490237189583	0.000317393640619	0.000916067498906
è	0.000556075644403	0.0222177780978	0.570842806238	0.319803389685	0.053046256794	0.0281094532682	0.00421555163194	0.00017944294454	0.0010292340763
r	0.000243621167468	0.0129549201326	0.453139752079	0.425066926562	0.0533209629313	0.0504243889227	0.00424894051065	0.000161639604847	0.000438820824767
a	0.000132660954156	0.0094595362542	0.321757607026	0.534082018854	0.0658473676438	0.0589270556409	0.00889298463688	0.000239774941616	0.000661048064256
t	0.000159674323052	0.00555008039473	0.224065005342	0.552118419618	0.0862169392146	0.118559304547	0.0120145855456	0.000304818833872	0.00101121100475
i	0.000188930964351	0.00424284076491	0.185104015781	0.493796933206	0.143203933072	0.150313371516	0.0208087595152	0.000562857997957	0.00177836575158
n	0.00226154851145	0.00696663345497	0.122414902594	0.437383404402	0.174192654357	0.219846567172	0.0295614831717	0.00102182236599	0.00635103365053
ì	0.00293922194815	0.00785307040499	0.0991191412647	0.217134324801	0.368780301452	0.273425239057	0.0226841513906	0.00125902525533	0.00680557394018
c	0.00371510176038	0.00634020738833	0.0419745431549	0.1032155136	0.444798553817	0.371220933019	0.0212985374635	0.00188641128511	0.00555022170339
h	0.0101677365868	0.0113586517961	0.0315578247183	0.0575249058667	0.212495026939	0.65215984434	0.0180359408212	0.0016466335117	0.00505347282446
a	0.00966488414227	0.00940015674203	0.0197193135061	0.0318165812889	0.166683961313	0.561290791447	0.189087405274	0.00521362252057	0.00712334186482
p	0.00524172632742	0.00499637405734	0.025044835102	0.0318256954296	0.163517623771	0.495641607149	0.255223448425	0.00751532200686	0.0109934072883
à	0.00372663589581	0.00348522283911	0.0266139927507	0.0263505721099	0.27693008459	0.536836322383	0.111766830808	0.00711115100229	0.00717918685277
r	0.00132554087194	0.00129437047637	0.0108407901336	0.01634297067	0.303693445863	0.583453464128	0.0691202682693	0.0111056203341	0.00282354511426
o	0.000657267457313	0.000647969502123	0.00573874809787	0.0130053412233	0.121665383621	0.503627478043	0.310574812756	0.0301995601114	0.0138834824448
n	0.0020754980991	0.000873607867374	0.00901557358596	0.0246823914078	0.0589841925403	0.432208222681	0.410618114252	0.0405802583705	0.0209621884816
t	0.0044627015997	0.00223706188912	0.010995880362	0.0327870181359	0.0298385846468	0.54338309756	0.339368948084	0.0263323584568	0.0105943835272
a	0.00406296633323	0.00235191447637	0.00516018898733	0.0164816933453	0.0172697753489	0.337179740853	0.483767082695	0.0888792501523	0.0448474052091
s	0.00436635057774	0.00173925980546	0.00376267016244	0.0126583594151	0.0129977694496	0.192338898618	0.540670910898	0.159477003384	0.0719887917364
t	0.00543165275925	0.00170014523515	0.00326186175415	0.0120970654717	0.00717169114987	0.147537900539	0.649762066966	0.131309564461	0.0417280354121
i	0.00697259248642	0.00171640227838	0.00221799788472	0.00577427699057	0.00614646054996	0.060023005513	0.567994422322	0.211163708154	0.137991106637
n	0.0156383264955	0.00454605532613	0.00643798102824	0.0217625011635	0.00679639568332	0.043569286171	0.290327047441	0.317734286051	0.293188115546
a	0.0211433301652	0.00607892460871	0.00839758877608	0.0277406114212	0.0106241842278	0.039493157057	0.14575041548	0.488328012017	0.252443815182
g	0.0221217453884	0.00736890236957	0.00833407969203	0.0247554861737	0.0115226900759	0.026099622019	0.0690006948267	0.594560244006	0.236236548394
l	0.0189890144628	0.00705954035652	0.00773512079734	0.0246050080579	0.00704238675863	0.019263773773	0.0763549416089	0.588519154669	0.250431042798
i	0.0217081124876	0.00467537168551	0.00445198623245	0.0108669910193	0.00639532651954	0.008670244691	0.0648635774696	0.651663151556	0.226705247599
s	0.0238527924959	0.0047204507285	0.00381981264415	0.00589325233977	0.00478128383985	0.00550538256367	0.0433978167565	0.671507583852	0.2365216392
ì	0.0154395914986	0.0040378553095	0.00325479484805	0.00389754087992	0.00308711041328	0.00400006358789	0.0362076224522	0.656443247951	0.273632183067
a	0.0304376501662	0.0071213883365	0.00355457374935	0.00186440691664	0.00274757420443	0.00235691526263	0.0136334731841	0.552903669317	0.385380314356
