 	non	sono	andati	</S>
e	0.78346277	0.20467873	0.00573575	0.0061227926
n	0.504166482667	0.425061863333	0.0653894633333	0.00538221346667
è	0.183125482222	0.728177954444	0.0863744934444	0.00232206752056
c	0.0742298817407	0.685480124815	0.239457560148	0.000832455215187
h	0.0312925585802	0.618844461605	0.349313643383	0.000549329815062
u	0.0183031911934	0.598595433868	0.330393544461	0.0527078157384
n	0.0766825697311	0.357641084623	0.49139543482	0.0742809100795
e	0.0924254737437	0.152898332674	0.69115304494	0.0635231248598
p	0.0344721307479	0.0526647734247	0.856265881647	0.0565971731866
a	0.015113054516	0.0189797175416	0.855523527216	0.110383665962
m	0.00593844110533	0.0067600039472	0.849858692405	0.137442857987
è	0.00233142710378	0.00261906804907	0.809713580802	0.185335925329
n	0.117004541437	0.00479373998302	0.570497560267	0.307704158443
a	0.155357941769	0.00552987026101	0.292960438089	0.546151779481
</S>	0.0779139728195	0.0029645400305	0.155593446045	0.763528089741
