 	non	vieni	alle	sette	perchè	io	non	sono	pronta	</S>
m	0.2684689745	0.723622775	0.00435581413	0.002906471765	0.00039741251	0.0001767917455	1.14697973e-05	1.3096423e-05	3.43105465e-05	1.2953672e-05
i	0.106047709167	0.865393825	0.0165879637967	0.010759017565	0.00080616295	0.0002923130885	3.26319354333e-05	1.6782856e-05	3.78785455e-05	2.57991336667e-05
n	0.0512779636557	0.908626608333	0.0243583745989	0.013984597755	0.00120807281667	0.000424068202833	3.99344018111e-05	2.0569938e-05	2.91728151667e-05	3.06748193889e-05
d	0.0208853845852	0.912769519444	0.0297436801996	0.0120423781517	0.0187016067722	0.00483104516761	0.000140547250604	0.000468056179333	0.000401187848389	1.65513482963e-05
è	0.00970671896173	0.728332276481	0.170678566067	0.0585853550506	0.0250150052241	0.00619508418254	0.000255027483535	0.000684729199778	0.000516319380463	3.08534464321e-05
l	0.0531723163206	0.651928878827	0.206070823356	0.0682774798169	0.0149354420414	0.00478188785418	0.000270268257845	0.000312170843926	0.000213741004488	3.6950152144e-05
a	0.0674410542069	0.495766586276	0.276282929119	0.141063184739	0.0129235543471	0.00474711605139	0.000656467802615	0.000284376885309	0.000131050648163	0.000703662074048
à	0.023106602969	0.182990874425	0.497055709706	0.269432428246	0.018549788449	0.0035733848838	0.00261425236754	0.00111527526177	8.58342580543e-05	0.00147584169135
l	0.218151240456	0.129901497142	0.372454356569	0.196138272549	0.060068909483	0.0171173080613	0.00334552935585	0.00131278912059	0.000443668261351	0.00106642095712
l	0.299538331152	0.328629585714	0.132287837523	0.0678286618497	0.137993636494	0.0302512713538	0.00174336024195	0.00057584672353	0.000774426637117	0.00037703627674
e	0.116388521287	0.334071097005	0.064252407841	0.267087528483	0.182599328831	0.0263369047846	0.00394952353732	0.00371184705784	0.000545704302372	0.00105712595661
s	0.060125566999	0.124068875435	0.0809978392803	0.341412130828	0.348653292944	0.0284578445949	0.00746665484577	0.00627870701928	0.000949272240791	0.00158980846554
è	0.041355372013	0.0541584824783	0.0762730297601	0.236514114943	0.513685497648	0.0446171405316	0.0156761076153	0.0140857093398	0.0011485381136	0.00248599586851
t	0.019989650351	0.0209770881594	0.03977011992	0.201786643314	0.577839679216	0.0783808368439	0.0343309458718	0.0227038241133	0.0017253905712	0.00249584543617
t	0.0180923687837	0.0208279297198	0.0233450243067	0.0771903691713	0.605015739739	0.194009595615	0.0353534119573	0.0184615263711	0.0068370336904	0.00086703258539
e	0.0113601801412	0.0188946100066	0.0090928717689	0.0337293527904	0.462362113246	0.297689741872	0.0667008683191	0.086351078457	0.0084213942968	0.0053978130218
k	0.00787460859373	0.0103885637689	0.0250139845896	0.0211106241635	0.439945437749	0.258969233957	0.097482362773	0.125969212819	0.00555480049893	0.00769118990727
a	0.00672809032124	0.00746141162297	0.0300966974299	0.0105464017878	0.368779632583	0.223983694652	0.135202640924	0.202078594273	0.00856866883298	0.00655415853576
v	0.0127185835637	0.011676033241	0.08572897371	0.00616538742927	0.240715204194	0.183062234884	0.157271908641	0.264238958091	0.0140570599443	0.0243656475119
ò	0.0148687553879	0.0130505332803	0.10400851488	0.00378283580976	0.178709147931	0.107732514961	0.258435101214	0.264974092697	0.0261990363148	0.028239477704
e	0.00657607756263	0.00759497762677	0.0349422536133	0.00138030566925	0.0636293958437	0.0842612983203	0.466316350405	0.251072837566	0.0721462337716	0.012080300768
n	0.00554004685421	0.00812762920892	0.0199461768811	0.000924289722417	0.0413704036146	0.0728214184401	0.384630382468	0.303854019189	0.140538524591	0.0222471599227
ì	0.00422710871807	0.00637214426964	0.015121190327	0.000836007767472	0.0318705836715	0.0467808321467	0.222003993156	0.43057628973	0.209971874864	0.0322400133076
m	0.00191067203936	0.00297772783321	0.005413126149	0.000442156222491	0.0120388687905	0.0230428040489	0.154767322385	0.531050346577	0.249142984955	0.0192140276592
e	0.000935810056453	0.0044518471544	0.003873609723	0.000845758514164	0.00672052319683	0.0132912771163	0.0660538401283	0.560083632192	0.239459911652	0.104283795776
p	0.00263278692882	0.00713754225147	0.00697818957433	0.00175745677139	0.00861214856561	0.0066291585721	0.0315826591094	0.353120317397	0.431716333884	0.149833388592
r	0.00305921898294	0.00538656975049	0.00646606222478	0.00242431355713	0.0102924108552	0.00517548262403	0.0147221937698	0.297390069132	0.546747634628	0.108336062864
ò	0.00123085706765	0.0059514123835	0.00422234977493	0.00198646939904	0.00791019185173	0.00383806372468	0.0079025154566	0.268713017377	0.502866594876	0.195378550955
n	0.00075290427255	0.00596687692783	0.00323207992498	0.000912833086347	0.00498285905058	0.00219226982489	0.00437818991887	0.111029403459	0.676712548292	0.189840031652
t	0.00159041914085	0.0136542917759	0.00168820680833	0.000385404382116	0.00277611695019	0.0015141832883	0.00393028453962	0.059762511153	0.841690796097	0.073007742884
a	0.00185546172695	0.0181244892586	0.00424636510278	0.000444402660705	0.0039473758834	0.0009774457561	0.00326185204654	0.0317343212177	0.639747925366	0.295660338628
</S>	0.00119449858348	0.0127095356293	0.00698831055139	0.000642166110353	0.0057223036917	0.00092622294805	0.00204721032327	0.0185750368589	0.401484882683	0.549709839314
