 	questa	casa	la	costruirono	cinquanta	anni	fa	</S>
t	0.9547088	0.044220174	0.00098198905	8.0864022e-05	4.0511739e-06	1.4442952e-06	3.18627725e-07	2.377710185e-06
ù	0.88524732	0.108734045667	0.00567704565	0.000328873828667	8.21491173333e-06	1.4570836e-06	3.94044798333e-07	2.64787385167e-06
t	0.799005093333	0.186161168556	0.0142417392167	0.000569662109556	1.73146619111e-05	2.05998306667e-06	4.16197589444e-07	2.52646854389e-06
t	0.755903064444	0.230383886185	0.0133082933056	0.000387736558185	1.4240852857e-05	1.57927788222e-06	3.41033016481e-07	8.76547158297e-07
o	0.491329401315	0.383027185395	0.118624544002	0.00666148134106	0.000175389860506	1.84447538207e-05	4.41838419216e-06	0.000159161209436
s	0.175176023938	0.653078011798	0.162341539334	0.00892750558035	0.000232527384502	2.46842974402e-05	5.85162814739e-06	0.000213805128612
p	0.0726727663127	0.839975920599	0.083645567778	0.00353643006012	8.25232970007e-05	1.00811083134e-05	3.46046159913e-06	7.32116388207e-05
ì	0.0289460253809	0.685207713533	0.252966662593	0.0316943417534	0.0007341197035	5.38713917711e-05	6.98027633304e-06	0.000390290563424
t	0.010111349637	0.510079977844	0.431469330864	0.0467571302511	0.00100739051117	7.17697899237e-05	7.05434621101e-06	0.000496007674631
i	0.00377593315	0.360413200281	0.508016843621	0.122837123084	0.00417098211372	0.000253960385975	8.270180837e-06	0.000523706545034
t	0.001617174321	0.248630174427	0.55491452454	0.187813867695	0.00589619923791	0.000375634228658	1.22113789457e-05	0.000740222215011
o	0.000894962991333	0.208672585576	0.490081384847	0.288205682565	0.010880634946	0.000613342209553	1.16781606486e-05	0.000639751505004
f	0.000837498614778	0.0875350576253	0.419514578282	0.472476207522	0.0173292426487	0.00119128023652	1.96219408829e-05	0.00109655190167
a	0.000831800068259	0.0452419154751	0.292889298094	0.621721982507	0.0345458442162	0.00345953401217	6.30425792943e-05	0.00124662868389
b	0.000394130186086	0.0171054842917	0.182371678031	0.748673114169	0.0458300257387	0.00438499667072	7.34014367648e-05	0.0011672020113
b	0.000316990438695	0.0106138294639	0.14903909601	0.80389141139	0.0319630932462	0.00316774712357	4.04560695883e-05	0.000967399220433
r	0.000764095689565	0.0172836703213	0.14532716867	0.808583273797	0.0251351707487	0.00249593954119	3.24486325294e-05	0.000378233640144
i	0.000830206969855	0.0160941593238	0.102342596757	0.702152891266	0.16550158125	0.0111918877804	7.80919265098e-05	0.00180856669671
k	0.000322638629952	0.0056563042046	0.042311282119	0.694689823755	0.237529367083	0.0170203135935	0.000103046505503	0.0023672424089
è	0.000159199639984	0.0022204114882	0.0219841368397	0.632537257918	0.306775229028	0.0339291185312	0.000196191615168	0.00219846971297
t	7.76470126613e-05	0.000884319856067	0.0113924264132	0.475654615973	0.467273076343	0.0424487078437	0.000251175765056	0.00201800586499
s	0.00884673670689	0.00278499767202	0.0145201384711	0.559165195324	0.388836665448	0.0249267062812	0.000217766581685	0.00070174827233
a	0.0117766693056	0.00338067642734	0.0120455490237	0.438737861775	0.470318251816	0.0597951824271	0.000406844427228	0.00353895018078
n	0.0042340903852	0.00155140164578	0.0081428292079	0.204903923925	0.691906307272	0.0842121251424	0.000449532902409	0.00459980031026
o	0.00179815316507	0.00107402033526	0.00693309045263	0.124901392442	0.724659789091	0.132323182714	0.00397180209414	0.00433858868675
p	0.00126844287836	0.000868744765087	0.00490694820088	0.0542789119473	0.751102466364	0.176484790905	0.00535504848138	0.00573468476225
e	0.00165206462612	0.0013394482217	0.00436594204696	0.0302078426491	0.733372172121	0.204853556968	0.0178596359438	0.00634935012075
t	0.00134079709871	0.00130601890723	0.00191657181565	0.0162980375497	0.69040712404	0.259121842323	0.0236598031479	0.00594980027358
t	0.00111758598957	0.00183954243574	0.00108899955855	0.0134159855166	0.571671861347	0.397487730774	0.0099879677593	0.00339033972453
ì	0.00173827006319	0.00293363141191	0.00087871264285	0.00770587823887	0.457821357116	0.496152486925	0.00773812112977	0.0250315573082
n	0.00155880476773	0.0020951979773	0.00105700700428	0.00571025347962	0.440943119039	0.507073705642	0.00918146470992	0.0323804357027
