 	possono	essere	ancora	svegli	</S>
i	0.975351455	0.0231042677	0.000462894088	0.00082253289585	0.0002588759565
s	0.918144071667	0.0802336925667	0.000541891752667	0.000822927726717	0.000257439552833
ò	0.843096247222	0.150618084189	0.00395901215422	0.00200717150367	0.000319477451611
z	0.602511949074	0.389238448063	0.00548747341807	0.00241336679522	0.00034872959987
o	0.275799244025	0.606125342688	0.0717596871727	0.0224970934257	0.0238186230826
n	0.135752702342	0.708088994229	0.0949980678242	0.0291943556119	0.0319658327609
e	0.0757633998807	0.626248484743	0.148871074708	0.132768541341	0.0163484376536
ì	0.0292988469936	0.338146394914	0.289737224903	0.32890500378	0.0139124705512
n	0.0689689702645	0.269351111638	0.342320371634	0.27513018026	0.0442292865171
e	0.0799698939215	0.205231515846	0.294909623878	0.36381038242	0.056078562839
a	0.0306529038072	0.0692799524153	0.312354744626	0.556091257473	0.031621172613
n	0.0642750066024	0.0338929559718	0.259822042942	0.352472470524	0.289537581871
k	0.131374502201	0.0576296566573	0.134354622381	0.237447428208	0.439193853957
ò	0.104722451567	0.0551924372124	0.100784899127	0.519645869403	0.219654371652
r	0.0374228190223	0.0189618849641	0.0497470123757	0.674017156468	0.219851110884
a	0.0149530585074	0.0069883087547	0.0251514873586	0.694902738823	0.258004380295
a	0.0247079796691	0.00287120331823	0.0120432592529	0.752882099608	0.207495443432
t	0.037143726223	0.00178748267274	0.00839662031763	0.487315806203	0.465356347811
s	0.124181476074	0.00370345259091	0.0863228894392	0.181876574068	0.603915605937
ù	0.155603176691	0.00477665539697	0.11346599048	0.197651657023	0.528502535312
n	0.0821599682303	0.00346910226566	0.06908900416	0.190414382108	0.654867555104
n	0.144741994077	0.0156740790219	0.23805092472	0.066960869036	0.534572115035
i	0.162815914692	0.0206226002406	0.270741400907	0.0483670735787	0.497452991678
t	0.244048368231	0.0263195563135	0.101760204969	0.0410776277262	0.586794243893
i	0.28830473141	0.0290655454378	0.046401427323	0.0389213337754	0.597306971298
</S>	0.192007828705	0.0186193692189	0.0304024341615	0.0557278068877	0.703242585649
