 	qui	dentro	vuole	un	tappeto	</S>
e	0.767617285	0.230665195	0.00129283888	0.000274406655	2.507471355e-05	0.000125180957
t	0.728476761667	0.254206545	0.01654005206	0.000588840618333	5.808243685e-05	0.000129710837
t	0.758820277222	0.157374615	0.0808733786867	0.00263848620611	0.000228665385617	6.4581592e-05
ù	0.503041988407	0.398130698333	0.0952448462289	0.00311259810204	0.000259609435206	0.000210249999
m	0.233872808802	0.468845755444	0.291744828743	0.00511121506735	0.000163146665069	0.000262247318667
è	0.138109288301	0.478246941148	0.361112421248	0.00588892152245	0.00024034192169	0.0164021230586
s	0.0505596638003	0.478305351716	0.444575885416	0.00447621700748	0.000294863553897	0.0217880641085
a	0.0212243111834	0.188324266572	0.732794895139	0.0381009543358	0.0016571005313	0.0178985154585
t	0.00855705584447	0.0848578051907	0.83014569838	0.0543708647786	0.00268893791043	0.0193796284862
è	0.00412268679816	0.0369463223969	0.89184101946	0.0477702699262	0.00347127890348	0.0158484171621
l	0.00188845714939	0.013763399299	0.911293873153	0.0564049769754	0.00465106723449	0.0119982369674
i	0.00132564131646	0.00594725109967	0.667631027718	0.252502727658	0.0305215038115	0.0420718325691
è	0.00120222603882	0.00295349719989	0.304634539239	0.560602775886	0.0679137496038	0.0626931951897
n	0.0309932932463	0.0044094082333	0.18407926308	0.631938158629	0.0810511748679	0.0675286627299
a	0.0407437010488	0.00507121654443	0.116053840693	0.52257893621	0.191620081623	0.123932187577
t	0.0238429956496	0.00604651998148	0.0553494425643	0.347262818737	0.339333047208	0.228165145859
a	0.0182048646832	0.00611740589383	0.0336463713548	0.202331502912	0.496777302403	0.242922541953
p	0.0179183703611	0.00429020259794	0.0214835109516	0.115831142971	0.581419867468	0.259056897318
p	0.017739380687	0.00344569594498	0.0248648853172	0.047267693657	0.684751285823	0.221931015439
è	0.00664926326233	0.00126971062066	0.0173651491391	0.0246601025523	0.840460511941	0.109595228146
t	0.0101762632208	0.00184359376689	0.0105260617464	0.0316341328508	0.871511070647	0.074308904382
o	0.0116379341069	0.00289074828896	0.00869468258213	0.0277186996169	0.645484476882	0.303573486461
</S>	0.00695967910345	0.00288584904448	0.00573749879106	0.0155086258084	0.406677068441	0.56223127323
