 	non	deve	magniare	la	sera	</S>
e	0.78160057	0.1926610725	0.020814914	0.001498898775	0.0015659010025	0.001858689585
n	0.48037205	0.2846800875	0.151127764667	0.001576723025	0.0804703980008	0.00177305346167
è	0.178065893333	0.500471585833	0.212760054889	0.001534841575	0.106473904234	0.000693809928123
n	0.0761262437777	0.466762322611	0.110214994296	0.00137801659167	0.345071076311	0.000447413783608
a	0.0378717782592	0.377475958204	0.125469914099	0.0141910977306	0.44408069877	0.000910586127869
f	0.0287896450864	0.364571367735	0.411880598033	0.0236705735769	0.170152703157	0.000935147835956
à	0.0189561207955	0.161322124245	0.641530546011	0.098370927859	0.074351720619	0.00546856483865
i	0.0087887384985	0.075788829415	0.469835985337	0.281418095953	0.116686926206	0.0474814116129
t	0.0110554316328	0.0369758324717	0.292316411779	0.473944898651	0.128160632069	0.0575467850376
o	0.0100694500176	0.0187320649906	0.196896614593	0.57196479955	0.16676240069	0.0355746661792
v	0.121690087813	0.0388441028302	0.100625448864	0.440434913183	0.259899493563	0.0385059397264
r	0.159778160138	0.0511107599434	0.0679609446213	0.389325797728	0.208502329854	0.123321997575
à	0.054560462346	0.0248781053478	0.0302170468404	0.343203619243	0.369017098618	0.178123699192
i	0.021983475882	0.00942144614927	0.0121279255801	0.155196376414	0.637500032873	0.163770779731
</S>	0.016289273441	0.00578774257464	0.00841270229005	0.103876763207	0.684031016436	0.181602509866
