 	se	aveva	visto	le	nuvole	le	nuvole	avrebbe	capito	che	stava	per	piovere	</S>
a	0.57048975	0.3754963415	0.04883986385	0.00194769705	0.001680711325	0.000171463332	0.0002708480365	0.00011950573935	9.707405935e-05	5.87070762e-05	8.480181155e-05	3.390286915e-05	0.000669035358625	4.03046409e-05
n	0.253451096667	0.638601813833	0.0997781912833	0.00338761911667	0.00314049424167	0.000188811216	0.000328321948833	0.000139664751783	9.80287355833e-05	5.87793802667e-05	8.47860114167e-05	3.35280474033e-05	0.000668903556108	3.99820558433e-05
ì	0.095193824889	0.737308671278	0.156219890428	0.00711311670556	0.00333296071389	0.000166389317333	0.000222858899611	8.7725049261e-05	4.81795833278e-05	2.20009225222e-05	3.27705113722e-05	1.14178287011e-05	0.000226676314936	1.35699716158e-05
c	0.0401774476297	0.698256023759	0.237353370143	0.0153045492352	0.0082160919713	0.000164978661111	0.00030193732987	8.2601183087e-05	3.10534350426e-05	9.20260739407e-06	1.51153043241e-05	3.97469469303e-06	7.91524416687e-05	4.5532366476e-06
h	0.0188507508099	0.598541841253	0.342827956714	0.0219306724117	0.0169387986571	0.000203799145704	0.000523257089957	0.000116183111029	2.62397799475e-05	3.74980091802e-06	7.07014140803e-06	1.46199878368e-06	2.67211732796e-05	1.52870408487e-06
e	0.00861066603663	0.472220713751	0.447272752238	0.0552351391372	0.014906131119	0.000790609881901	0.000594453176652	0.000172745703676	8.66874466492e-05	1.03263484393e-05	2.03679299027e-05	2.58388170123e-06	7.31396867932e-05	3.68371257962e-06
t	0.0518649995122	0.285040519917	0.534797700746	0.0789257297124	0.0438345796063	0.00106904411397	0.00342056155888	0.000783650551225	0.00012547808555	1.44656633464e-05	2.66666353009e-05	3.15753276708e-06	8.86421738644e-05	4.76689252654e-06
o	0.0650822479574	0.124435473306	0.509549876915	0.229816526571	0.0596682468688	0.00597516155799	0.00431775825296	0.000989323183742	9.70780551833e-05	1.18818903155e-05	1.53573251003e-05	1.99016858903e-06	3.27689877215e-05	6.26807117551e-06
r	0.0256806997725	0.0518312254353	0.415670162305	0.419478675524	0.0697575392896	0.0135620445193	0.00280508165099	0.000977695661247	0.000109824938394	3.55490861052e-05	2.08896277001e-05	6.30889579634e-06	2.02528620738e-05	4.40323070585e-05
ì	0.0125135294742	0.0211351369784	0.270790640768	0.557158268508	0.0963185430965	0.0375284215064	0.002781793717	0.00133587518708	0.000203177346131	7.38527273684e-05	3.39765345667e-05	1.26391429321e-05	1.74685030246e-05	9.66313370195e-05
s	0.00525872260807	0.00757794565947	0.138476360256	0.622573366169	0.147312444366	0.0645433971688	0.00942008257233	0.00399791982903	0.000582283182044	0.000101833789123	5.55945975222e-05	9.97655044403e-06	1.31597145082e-05	7.68546247732e-05
o	0.00285379630269	0.00285431639649	0.0802207164187	0.614071642056	0.159881908122	0.120092419056	0.0127552943574	0.00575099370968	0.000985927527348	0.000179618269708	9.69215178407e-05	2.3447762948e-05	2.95650973361e-05	0.000203394210691
n	0.00403554863423	0.00139441994216	0.0375284918062	0.528027554019	0.249591676041	0.138763609685	0.0244585992858	0.0142018760032	0.00134239964245	0.000225460783236	0.000111463405947	3.04617546493e-05	3.53517992787e-05	0.000253058034897
t	0.00470281903141	0.00146043094739	0.0235757526021	0.37582528134	0.43738663868	0.107358819895	0.0306804747619	0.0174927499011	0.00118362882082	0.000139692941545	7.1179418649e-05	1.31093590831e-05	1.70345629262e-05	9.23813273123e-05
a	0.0018774426838	0.00113277321913	0.011141716914	0.256104025447	0.384454452893	0.309625316632	0.0202807245873	0.0126006562004	0.00174740228027	0.000457274877648	0.00016319612955	5.32196252277e-05	5.02619339754e-05	0.000311523356784
t	0.000955166997933	0.00045748604971	0.004429018318	0.146438145149	0.367416757631	0.396565612211	0.0393607728624	0.0399555724001	0.00289875339342	0.000678655182549	0.00027094967985	7.23840707426e-05	6.87942163251e-05	0.000431909778928
a	0.000642799652644	0.000227632289903	0.002068557896	0.0897965117163	0.371719952544	0.42821553407	0.0495966922875	0.0524855898	0.00348759343114	0.000935731817516	0.000314747713283	8.15406459142e-05	5.5251483775e-05	0.000371846129643
s	0.000406601920881	0.000137708819968	0.000861704805333	0.0421566585721	0.325994594181	0.470370671357	0.0601629940958	0.0916928969333	0.00545945514371	0.00148830457251	0.000565444504428	0.000123424688638	6.88829025917e-05	0.000510669543214
ì	0.000328805125294	0.000102962769989	0.000415535205111	0.020544648524	0.28343037806	0.488346050452	0.0757972183653	0.117161728978	0.0085298190479	0.0032285438575	0.00102122630148	0.000284079166213	0.000109549712197	0.000699506091071
n	0.000282655260098	9.0227656663e-05	0.000347448221704	0.012241105508	0.228883262687	0.525293893484	0.0981733844551	0.107984389659	0.019951078016	0.00399836078583	0.00175109023383	0.000296845231071	0.000145727150732	0.000560567763024
n	0.000972652920033	0.000826803545554	0.000648665340568	0.0135688391693	0.330419537562	0.340390961161	0.166301144818	0.12204061322	0.0208198486053	0.00211830891194	0.00149546260461	0.000103152021557	0.000102259374577	0.000191742271441
e	0.00105919201001	0.00107806600318	0.000644706690189	0.0105540787898	0.272927906187	0.36331427372	0.170621908273	0.141648731073	0.0246614921351	0.00849336322065	0.00214432049487	0.000682205359386	0.000162939402526	0.00200684330825
f	0.000629866650003	0.000424929345727	0.000323894300063	0.00566780586327	0.116288491729	0.39860469124	0.154505362758	0.266522777024	0.0377499813784	0.0123532205069	0.00318222276496	0.000901581369795	0.000196699422509	0.00264850811608
a	0.000502109726668	0.000220978945242	0.000222916796688	0.00397798502109	0.0623617599097	0.295278070413	0.187064684253	0.361655392341	0.0548070444595	0.023866617269	0.00550343018832	0.00173566807327	0.000575367462503	0.00222798088536
t	0.000345445775556	0.000137266893081	0.000149177022229	0.00183692690703	0.0272786520699	0.206116620804	0.196902154751	0.46435141078	0.0602953301532	0.030359584423	0.00705761372944	0.00215334282442	0.000724025514168	0.00229243772845
e	0.000284806579852	0.000114083425694	0.000109515440743	0.00100138480901	0.0134979221233	0.112411220935	0.19896912825	0.54327037026	0.0725172067177	0.041589110141	0.00966955757648	0.00332305104147	0.000826146298056	0.00241645350948
s	0.000222527687951	0.000106661903898	9.35697992477e-05	0.00057961780967	0.00710098797443	0.0666579849783	0.187589726083	0.58802039342	0.0807098055726	0.049398475047	0.0120090141922	0.00408119168049	0.000880139759352	0.00254989476983
m	0.000185301719317	5.5734341966e-05	5.48979540826e-05	0.000514927003223	0.00353230339148	0.0668657109928	0.180475865361	0.639418624473	0.0669565271909	0.030060586349	0.00825636783073	0.00200139314016	0.000401861379784	0.00121987817661
à	0.000109346087772	0.000134250665989	9.84229800275e-05	0.000532880244408	0.00324067703049	0.0665125566643	0.16104870512	0.596148398158	0.105940979064	0.043002131783	0.0114084820436	0.00384501009339	0.000352823326595	0.00762532004554
n	0.000174015580591	0.000181171681996	0.000163924780009	0.00135310739147	0.00328849571016	0.0404989115548	0.169948391707	0.539927622719	0.159032736355	0.0509509695943	0.0196095370145	0.00438824708446	0.000704140342198	0.00977872536185
t	0.000524855580197	0.000385984223999	0.000274021940003	0.00181648716382	0.00239396683672	0.0290478781849	0.232981143902	0.544744470906	0.140417862118	0.0263096656981	0.0155941402048	0.00150315753482	0.000690175187399	0.00331618699682
