 	la	casa	la	costruiscono	i	muratori	</S>
t	0.880408	0.117656754	0.00177980655	8.4558795e-05	2.7688989e-06	6.016320425e-05	7.97264465e-06
o	0.683119486667	0.300024494667	0.01642425265	0.000328488931667	2.24790994e-05	6.28420285833e-05	1.79916999833e-05
s	0.414234555556	0.560083174889	0.0248835193833	0.000475038270556	4.07886464667e-05	0.000242620152028	4.03312973278e-05
p	0.215661141185	0.762462524963	0.0209991466278	0.000497026966852	2.96425004889e-05	0.000316899190676	3.36301498059e-05
ì	0.0868785382617	0.787388564988	0.122833073209	0.00261562493895	7.0600995163e-05	0.000126532432559	8.70973692986e-05
t	0.0371640222872	0.736577311663	0.221798737736	0.00369898987965	8.65564523877e-05	0.000568482923186	0.000105920716666
i	0.0203169912291	0.538904470554	0.425949735912	0.0111427023599	0.000781343091463	0.000754259667729	0.00215049184579
t	0.0134381482097	0.493852390185	0.470964441971	0.0151294884533	0.00105272751382	0.00240549418258	0.0031572853486
o	0.0110671312966	0.443997886062	0.499997967324	0.0383807688178	0.00142412968794	0.00294764868253	0.00218446158287
f	0.0112698739922	0.239054041354	0.657297979108	0.0793746696059	0.00234737416265	0.00714983118251	0.00350623142762
a	0.0113695405041	0.164059095985	0.582887953036	0.211022516535	0.0177675980542	0.0090122859275	0.00388098804254
b	0.00521986420803	0.0650325585283	0.519531121012	0.362801272178	0.0234768301181	0.0185932581758	0.00534508358085
b	0.00400482536934	0.0362697988428	0.570307667004	0.342124474059	0.0098001617727	0.0323795263919	0.00511352619128
r	0.00829733922311	0.0339975456143	0.626121105668	0.29703967802	0.0082236928909	0.0243050230306	0.00201561031809
i	0.00885151085937	0.0279536272448	0.413443158889	0.466948716007	0.0639575899636	0.0114146229435	0.00743079119603
k	0.00317037998812	0.0100759953216	0.166965473296	0.716308652002	0.0821255934879	0.0118878876812	0.00946603343201
è	0.00131907913937	0.00420645578387	0.0806177370987	0.770685164001	0.117172114663	0.0175478725604	0.008451613844
o	0.00123847840646	0.00171523918796	0.0290975085996	0.504401370334	0.423646981554	0.0300153415201	0.00988508708133
n	0.00465111793549	0.00139810831265	0.0175298587665	0.197749207111	0.449841975518	0.315083874507	0.0137458518271
e	0.00584938964516	0.00161518893755	0.0139594170555	0.0858512963703	0.435012406839	0.439766888169	0.0179454289424
i	0.00625736654839	0.00131272584585	0.00533210745183	0.0356654707901	0.635896435613	0.30243335939	0.0131025161475
f	0.00688862251613	0.00102564620528	0.00281744245061	0.0198808865967	0.429155944771	0.527453386463	0.0127780362158
a	0.00624662400538	0.00276356149176	0.00263256738354	0.0129088471989	0.23560247449	0.709297012154	0.0305489137386
b	0.00516496433513	0.00319479395059	0.00191672794451	0.0082384589663	0.17037173293	0.775966454051	0.0351468715795
b	0.00266528864504	0.00199812400353	0.00113055787817	0.00787739755543	0.0596081152767	0.907275884684	0.0194446415265
r	0.00164115418168	0.00167343210118	0.000977385372723	0.0117035911851	0.0222005569122	0.952135794895	0.00966806744217
i	0.00195908279389	0.00154565723373	0.000938476374241	0.0107850692284	0.0275973729241	0.763094048298	0.194080244081
k	0.0025552845313	0.00188129751124	0.00109049230808	0.0072223382428	0.029461815908	0.701049686099	0.256739059027
a	0.0040328410771	0.00383014793708	0.00148157903603	0.00616991618093	0.0182301379027	0.779924332033	0.186331017342
t	0.00811209245903	0.00674618031236	0.00186066331201	0.00528762329364	0.0153600504342	0.785504294011	0.177129071447
ò	0.00855128548634	0.00677167563745	0.00170483877067	0.00457350363121	0.0078861976114	0.79895386467	0.171558619482
r	0.00444254094211	0.00397680172248	0.00106704898356	0.00204971597707	0.00417708772047	0.83059005489	0.153696756181
i	0.00292790052737	0.00263241821749	0.00118117685452	0.00150602679236	0.00286461909016	0.642937514963	0.34595038508
</S>	0.00353944291368	0.00317892860874	0.00163574552726	0.00172976704618	0.00358362504508	0.371396202482	0.61493634254
