 	i	genitori	non	li	dimentichiamo	mai	</S>
u	0.74535811	0.243392585	0.0059211875	0.00416063365	0.000642567435	0.0001107517895	0.00041414814
g	0.4343387441	0.556367061667	0.0053876877	0.002848047334	0.000564376030567	0.000107782687623	0.0003863128409
e	0.195230925467	0.639869000556	0.161556582767	0.00295051512867	0.000218931799089	3.8199424331e-05	0.000135914168867
n	0.115550604356	0.667199966852	0.213809884422	0.00326408240956	0.000107735392696	1.48533374903e-05	5.29255920557e-05
i	0.0502305163187	0.693008262284	0.247747438307	0.00868214216985	0.000274283553899	9.35580887677e-06	4.80035787852e-05
t	0.0288148688729	0.697920207428	0.259032909402	0.0138050040566	0.0003399762723	7.73646502559e-06	7.92966295951e-05
ò	0.011198401391	0.839650735809	0.129725619767	0.0187240863522	0.000522092878433	1.91564314085e-05	0.000159922896532
r	0.00727891913033	0.888144991936	0.086562397289	0.0172645254841	0.000569766514278	2.27131691105e-05	0.000156767327844
u	0.00549577597678	0.651361440645	0.25287952313	0.080606809528	0.00675731552623	0.000313934336345	0.00258527052495
e	0.00287211982559	0.255626038882	0.54849118771	0.162086429843	0.0179321518421	0.00157734929878	0.0114147820083
n	0.0284562295085	0.354631188294	0.423733624803	0.140857209948	0.0182854952807	0.00189395889959	0.0321423726694
è	0.0364013839462	0.455890689431	0.184255983834	0.278380729983	0.0121992880936	0.00123589576653	0.0316360770565
n	0.112910998759	0.444086643144	0.110835134611	0.311947954994	0.0078413130312	0.000819409690843	0.0115586194522
u	0.13837276477	0.359526193648	0.0580002592037	0.410791929998	0.0197255206771	0.00269385669895	0.0108895550841
s	0.04770418854	0.130890077149	0.0339215198679	0.731702743333	0.024210967059	0.00338238919632	0.028188153028
s	0.017316779382	0.0555423535497	0.0129695844893	0.875916201111	0.00967518351967	0.00120125978111	0.027378635626
c	0.117108454563	0.129090229017	0.00569303602977	0.663164461704	0.0297329475066	0.0175256695127	0.0376851971587
e	0.150986492188	0.152935930972	0.0174914411433	0.563909061901	0.0474502778355	0.0241661412709	0.0430606800529
r	0.0510101404193	0.0518209759507	0.0217450386144	0.718370400634	0.0405380626118	0.0102337756903	0.106281607684
r	0.0173493271964	0.0189964216436	0.0249455844381	0.748491733545	0.0343021905373	0.00531396939677	0.150600715895
è	0.0062191124088	0.0082033159612	0.0286002378127	0.732926264515	0.0732408798458	0.0467775221323	0.104032625298
t	0.0120856317796	0.00952908206707	0.0500290889376	0.662748544838	0.0832715106153	0.0600094360441	0.122326715099
s	0.0253053475932	0.0233611123557	0.184833756313	0.546986431613	0.0871910642051	0.0245019220147	0.107820391366
u	0.0198819896311	0.0216435343852	0.193156991138	0.300783714538	0.146319694735	0.209904575338	0.108309506789
m	0.00861616577703	0.00830740939507	0.0682684244127	0.163377645513	0.117256815578	0.271340903779	0.362832625596
e	0.00485186041568	0.00382154641836	0.0261417560709	0.113399479171	0.068071310526	0.348448179926	0.435265835199
m	0.00197935759523	0.00160196127612	0.00952621452363	0.0539215237237	0.0464734257087	0.376124789309	0.510372705066
à	0.00097246376741	0.00078984280204	0.00369424441788	0.0308137810079	0.0223607051029	0.420414272436	0.520954691689
i	0.00534878305814	0.000932056827347	0.00143295920929	0.011642903536	0.0169993083676	0.604317147479	0.359326853896
</S>	0.0102032810291	0.00135448646367	0.000901761194645	0.006973251918	0.0141526306838	0.564521588739	0.401893026948
