 	è	che	sono	usciti	</S>
è	0.4350432	0.541886245	0.01756632925	0.000885353195	0.0046188661
n	0.1582004531	0.491795661167	0.0183527630833	0.325197309065	0.0064538157
a	0.0583657591333	0.283226433222	0.0952077763611	0.549550923022	0.0136491462333
g	0.0346176387111	0.495776411074	0.144744688787	0.311595581674	0.0132657097321
u	0.023748668637	0.458879962691	0.201879416262	0.298463671225	0.0170282932317
ì	0.009869265379	0.16514373403	0.195855415421	0.609745013742	0.0193865512106
k	0.0902641392263	0.06568427481	0.129240818474	0.703826521247	0.0109842038702
a	0.116667313042	0.03141143537	0.122377258158	0.574652557082	0.15489140029
n	0.243130017647	0.02671286089	0.0786510447193	0.446191792361	0.205314283763
e	0.285142369116	0.0248572049633	0.0486241959064	0.408317070787	0.233059184921
</S>	0.142854859408	0.0130764574816	0.0276748344532	0.461721485393	0.35467238246
