 	il	morto	vuole	pianto	</S>
o	0.75313127	0.246174801	0.000402998825	4.68193965e-05	0.00024410874
p	0.537905256667	0.460003640333	0.00182900984167	4.49569805e-05	0.000217098263333
e	0.304825282222	0.691635180111	0.00341790161389	2.66496895e-05	9.49402857777e-05
s	0.126937874741	0.866052726704	0.0067492058713	3.23150941667e-05	0.000227871603259
a	0.054463147667	0.932469058901	0.0124970982904	0.000132379068056	0.000438288771086
m	0.021008796109	0.9368833463	0.0408928584301	0.000274830132685	0.000940102210362
m	0.00967370025633	0.9138509921	0.0753090461434	0.000233109057562	0.000933102512154
è	0.00334140760544	0.807416374033	0.125363875381	0.0162200487892	0.0476582545794
n	0.00209344326848	0.789835788011	0.123300490127	0.0215374244057	0.0632328223718
o	0.00173993592283	0.59137915867	0.324915268376	0.0251998132779	0.0567658049693
t	0.00163212334094	0.224965495557	0.688666269459	0.027126684626	0.0576094496564
è	0.00152807966031	0.0988306496857	0.817063876486	0.040218157742	0.0423592778855
l	0.000931305933437	0.0387882780619	0.881607545495	0.044172986614	0.0344999187418
i	0.000828510824479	0.015286138154	0.658374023498	0.194450204571	0.131061135694
g	0.0860887884548	0.0332468561847	0.415836456166	0.26053748719	0.204290391898
l	0.115037129318	0.0422437377282	0.440484125389	0.29016771473	0.112067266133
a	0.039554698906	0.0177414316661	0.28894264233	0.540273671577	0.113487514211
m	0.0270657999353	0.0098744249787	0.28388743131	0.495574740526	0.183597561404
m	0.0232488068451	0.0092608569929	0.316617587103	0.510460120175	0.140412609135
è	0.00878047070837	0.00559557161763	0.143146274668	0.647417976725	0.195059701712
n	0.0878623961295	0.0396418971592	0.162269600523	0.432065342242	0.278160760571
o	0.11445364161	0.0510581045864	0.169181593341	0.276776544081	0.388530096857
</S>	0.057747435155	0.0260086655932	0.0863336014205	0.29956741204	0.530342848428
