 	sto	ancora	cucinando	</S>
s	0.99650482	0.00184098112	0.00143800298	0.000216273941
t	0.838661806667	0.140957828073	0.0202970448933	8.33839403333e-05
e	0.550637925556	0.414972552691	0.0264196854978	0.00796986330611
a	0.283483616185	0.68226242423	0.0208423456993	0.0134116634354
n	0.146662446395	0.60027633141	0.124520880233	0.128540390145
k	0.407836172132	0.266463092803	0.161037737411	0.164663000782
ò	0.447594093377	0.246390099934	0.24415660647	0.0618592016607
r	0.153147282792	0.236652192311	0.570489302157	0.0397112458869
a	0.0541811008573	0.0897361211037	0.648891060719	0.207191753296
m	0.0239342788791	0.0425962943679	0.674703946906	0.258765494432
a	0.0137138254097	0.0233468287893	0.834000348969	0.128939011477
r	0.0054942464199	0.00963937629643	0.854867149656	0.129999260492
è	0.00276800692497	0.00426268489881	0.851868916552	0.141100410164
o	0.00217564142666	0.0023698967496	0.787419022184	0.208035460055
n	0.0795096013089	0.0196907679332	0.595324090728	0.305475560018
t	0.11107990477	0.0641406073111	0.589651730243	0.235127782339
a	0.04437726459	0.0620745257704	0.484178445748	0.409369773113
</S>	0.022698190295	0.0336446578852	0.262247776374	0.681409361557
