 	l'	ho	sentito	che	viene	</S>
o	0.498684845	0.123840243	0.372431607	0.002821623	0.000927209127	0.00129447159
n	0.217139259667	0.108819130667	0.373756105667	0.0028555161	0.294509128076	0.00292086539667
ì	0.0907637455557	0.120816469889	0.364376568556	0.0128855511333	0.408378734025	0.00277896561689
k	0.245689442852	0.126744176296	0.432652502852	0.0259773880444	0.167797775008	0.00113874164696
u	0.289005888517	0.0636119740987	0.521846060951	0.0317343713481	0.0929536606693	0.00084803875232
s	0.106559220406	0.0355857813996	0.459732504984	0.024242984016	0.371423833556	0.00245566803077
a	0.045415159302	0.0270501648332	0.173883704328	0.123335242905	0.481121361185	0.14919437921
n	0.0257696212673	0.0298256089444	0.0769438034427	0.163717739635	0.502646203728	0.201097053737
a	0.0189255284158	0.0168621438815	0.0266383684142	0.0891761652117	0.737180454576	0.111217358579
r	0.00671409975527	0.0103542191938	0.0103327348047	0.0721313250706	0.546247074859	0.35422054286
t	0.00288669290842	0.0258875407313	0.0077867263349	0.19162071169	0.332840848286	0.43897746762
i	0.00140305520281	0.0286291921104	0.00663734324497	0.219630982897	0.368785976095	0.374913445873
</S>	0.000835026401405	0.0163604388552	0.00411529432248	0.116420689949	0.396507548047	0.465761002937
