 	dovevo	comprare	il	pane	</S>
ì	0.368625805	0.57800003	0.04216952225	0.001382758925	0.00982192345
c	0.295433745	0.68587766	0.01474711835	0.000506946558333	0.00343457788333
h	0.159459238333	0.834100456667	0.00505261767233	0.000191997543054	0.00119573685471
a	0.360315119444	0.635626355556	0.00248159014644	0.000167601281295	0.00140936701184
n	0.405024845148	0.582264401852	0.0105819625155	0.000243494220432	0.00188534853728
a	0.183707058383	0.800489933951	0.0145525085052	0.000173258231144	0.00107729211243
a	0.141122684128	0.796443977984	0.0587679201684	0.000545882551381	0.00311956237081
f	0.0952939417093	0.770712672661	0.112955518723	0.00196200208379	0.0190759131236
o	0.0426911095698	0.844124337554	0.0893526339077	0.00204115442126	0.0217908086212
r	0.0243786747233	0.620215432518	0.249311580303	0.0265582057004	0.0795361291204
à	0.0103288780078	0.245497012839	0.594845220101	0.0419187925668	0.107410109373
s	0.00680136823593	0.131797552946	0.786672353367	0.0219989421889	0.052729773791
o	0.00435268106864	0.0805766867153	0.846531734456	0.0239428113963	0.0445960572637
t	0.00561648134621	0.0526774579718	0.867858881485	0.0259974366988	0.0478496924212
o	0.00606819378874	0.0433537027706	0.734074880495	0.1149548068	0.10154835914
t	0.00568536826958	0.0228029743702	0.586134626832	0.172425252267	0.212951759713
s	0.0212196854232	0.0194672534567	0.672805558944	0.101367747422	0.185139774571
o	0.0229385798544	0.0102526570256	0.520819271815	0.247810552474	0.198178962857
m	0.00783962914147	0.00399384164853	0.213546822772	0.383743734158	0.390875994286
ì	0.00277559883216	0.00185865311284	0.109771473257	0.481198094719	0.404396184762
</S>	0.00140613987858	0.00097559225142	0.0575685401285	0.618969647359	0.321080072381
