 	il	cibo	vuole	mangiato	appena	lo	cucini	che	è	più	saporito	</S>
o	0.696048665	0.2978301595	0.00414338937	0.000661834759	0.0011531132375	5.18377269e-05	3.137815087e-05	1.41063893e-05	1.598012171e-05	1.404526195e-05	1.9264207505e-05	1.62454437e-05
m	0.492498831667	0.466302769833	0.02150946679	0.00237164661967	0.0171480404792	5.18950174667e-05	3.25762280567e-05	1.45290636333e-05	1.60389334033e-05	1.46308491167e-05	2.2313669835e-05	1.72894374e-05
a	0.304549440556	0.640394873278	0.0299739412633	0.00309121570656	0.0218963996931	4.02754923222e-05	1.73682401189e-05	5.97368114443e-06	5.8674323011e-06	6.09640020557e-06	1.10921918117e-05	7.4621448e-06
r	0.143600093519	0.787802557759	0.0555598770878	0.00416436533552	0.00872668946437	7.36101054407e-05	2.1372687373e-05	5.37402144814e-06	3.57282366703e-06	5.71339643519e-06	1.49581434706e-05	2.17879277667e-05
ì	0.0731213039397	0.812943519253	0.101435455696	0.00768412327851	0.00454071772146	0.000172792635147	3.00354181243e-05	7.01900781605e-06	3.39264905568e-06	6.6439382784e-06	1.63471738235e-05	3.86075712556e-05
o	0.0246884667132	0.631589593084	0.272842228565	0.0619300460928	0.00514698127382	0.00307458987838	0.000384174984041	7.5505199272e-05	4.71047129519e-05	9.44857725595e-05	3.16385456078e-05	9.51495770852e-05
t	0.0123939668711	0.331674041028	0.513954676188	0.107527088698	0.0294557722579	0.00401261119613	0.000531060371347	0.000100027667424	6.19092615506e-05	0.000123948116853	4.57550042026e-05	0.000119155743028
è	0.0081563683837	0.190666730343	0.648300758729	0.110267976233	0.0389593854193	0.00298066263538	0.000363409417116	6.72045254747e-05	3.05717284169e-05	5.7837238951e-05	2.66955710675e-05	0.000122414245009
l	0.00420315345457	0.107621208114	0.672751286243	0.165384545411	0.0456383144731	0.00360434867846	0.000522056589039	6.45973611582e-05	2.11825496723e-05	3.6748801317e-05	4.57413223558e-05	0.000106802983003
i	0.00289272303819	0.0480421575713	0.616197482081	0.271512171804	0.048232467491	0.0108408363595	0.00126861929635	0.000221420681053	7.23708094241e-05	0.000113478841439	6.63360331186e-05	0.000539932679001
f	0.0024130019994	0.0216349643904	0.566999300694	0.321792520601	0.0717058851637	0.0127262890198	0.00141222650545	0.000278827997018	9.32453814747e-05	0.000146211708146	6.95866970395e-05	0.000727939949667
a	0.0022445249608	0.0116773622435	0.450030186898	0.423591696867	0.0859523050546	0.0228934552399	0.00230737604182	0.000417908169006	0.000118402642158	0.000209511887049	6.83655316798e-05	0.000488910293222
m	0.00124795934793	0.00502115312783	0.314131088966	0.543497315622	0.100903511685	0.0301316407466	0.00343477054727	0.000531911113002	0.000138753237386	0.000265152909016	0.00012703707156	0.000569719817741
è	0.000910712221977	0.00258579975928	0.214802189655	0.621099305207	0.115548907228	0.0379170359155	0.00504867158242	0.000748786127667	0.000190850715795	0.000261157039672	0.00013823302952	0.000748343139247
n	0.00390319444666	0.00412873503643	0.116283985218	0.563367451736	0.253530805743	0.0479899396385	0.00824408019414	0.000914730009222	0.000236192995265	0.000260908133224	0.00051394104884	0.000626027849749
o	0.00492104320222	0.00470716043881	0.0545819942393	0.391372967245	0.287994615248	0.219098160879	0.027851202398	0.00423836753641	0.00105169074175	0.00173644005774	0.00074727353628	0.00169911735325
a	0.00180944214074	0.00187601975627	0.0209346159131	0.270374765748	0.114278972416	0.459953363626	0.0806086041327	0.0188740558455	0.00780473951392	0.0157672654526	0.00139104853209	0.00632710781775
p	0.00872392506691	0.00286566443542	0.0124777146377	0.152992638583	0.238827028139	0.396418987875	0.121302398044	0.0257933169485	0.00991850650464	0.0195442920509	0.00214556767736	0.00898994187258
p	0.0109742862656	0.00425846814514	0.0199158402126	0.106874502861	0.464770906046	0.264123019292	0.0951304410147	0.0154050178495	0.00420947081488	0.0073266833003	0.00142382070912	0.00558755743186
è	0.0037699233712	0.00271171106505	0.0177310993375	0.076241516287	0.357463076682	0.405613773097	0.0997626420049	0.0188521128165	0.00687012691829	0.00753142048343	0.00121010588637	0.00224251088495
n	0.00441806982973	0.00138003133835	0.0093157967125	0.0598792407623	0.266192766894	0.491405134366	0.119841085668	0.0229021596055	0.0084449772061	0.00934059639448	0.00564819102879	0.00123194069498
a	0.00462391784024	0.000920833536117	0.00639700828417	0.0463500090208	0.229143887965	0.512768438122	0.140989876889	0.0310750282018	0.00814062463537	0.0107825560315	0.00665164677626	0.00215613236499
o	0.00175028884375	0.000651793188706	0.00242705612139	0.0166128857736	0.091435491655	0.511618442707	0.22091564563	0.0705867650673	0.0312575598785	0.0422893090105	0.00530635502542	0.00514839322166
m	0.00283496341458	0.000766806516235	0.00176637168713	0.0114710725912	0.0461123045517	0.435027127569	0.285344251877	0.0971040730224	0.0387471526262	0.0643792613368	0.00914088100847	0.00730574474055
a	0.00301803740153	0.000643772205412	0.00164420631904	0.00953051409707	0.0229464711839	0.410515775856	0.336121453959	0.115207101007	0.0326372335421	0.0530102304456	0.00840222196949	0.00632298924685
r	0.00125923653051	0.000426603068471	0.00100698792968	0.00501947659902	0.012564166228	0.298312925285	0.349628364653	0.177889780336	0.0477548611807	0.0894016634819	0.0117559079565	0.00498003754895
è	0.000684364383503	0.000333351332824	0.000708737123227	0.00326437450967	0.006752372576	0.178902598428	0.322586588218	0.237351920112	0.0830753803936	0.137851447827	0.0213053479855	0.00718353864965
i	0.00233257020117	0.000985202387608	0.000689321687742	0.00155451843322	0.007363644192	0.100045233143	0.268534896073	0.241033086704	0.123027386798	0.195649795942	0.0399523103285	0.0188320445499
k	0.00467072743372	0.0012661254392	0.000605881229247	0.00151537709774	0.00597575553067	0.0571870540477	0.275711575358	0.242662772235	0.0990108349327	0.210617231981	0.0808342367762	0.01994243445
a	0.00351985970457	0.000909738289733	0.00106548494308	0.00193052193258	0.00367824864356	0.0416572280159	0.234920587453	0.243303200745	0.100985727644	0.231983323994	0.116946388925	0.0190996990833
è	0.00183945429486	0.00110569479658	0.00144798044769	0.00162163066753	0.00468504734785	0.0198395053386	0.105101689484	0.172612846915	0.120702522548	0.233318879665	0.310636692975	0.0270880483611
