 	se	la	pasta	aveva	voluto	sale	lo	avevo	messo	</S>
s	0.502372025	0.488235405	0.00793251425	0.001239040825	0.000163702665	2.5480413e-05	2.99482655e-06	1.5392949e-06	2.359618265e-05	3.72863545e-06
i	0.240796988333	0.704027415	0.05080635625	0.00375698474167	0.000450506795	0.000111227212	9.25630161667e-06	9.74828513333e-06	2.54242472167e-05	6.12250945e-06
i	0.097774623111	0.827241551667	0.0643195165833	0.00873294124722	0.000864642865	0.000572829230667	0.000169678179872	0.000275580138378	3.98859534056e-05	8.77109681667e-06
p	0.153503378037	0.697295750556	0.0472337833611	0.0804665580824	0.0175839847217	0.00263051881022	0.000237772386624	0.000359269559126	0.000650385574469	3.86067626056e-05
à	0.168533627812	0.652528483519	0.0482130211204	0.103690453694	0.0229361658072	0.00294814642341	0.000120911967208	0.000155921849375	0.000826871029823	4.64064594352e-05
s	0.115510874404	0.568060381173	0.102363980373	0.148171365565	0.0511147441691	0.0133027699611	0.000151760167403	8.80793854583e-05	0.00121936741494	1.66813923784e-05
t	0.112392999801	0.317139597058	0.281027933458	0.207970028522	0.063036904723	0.016882319387	0.000143107187301	3.34381269328e-05	0.00136715717298	6.5234884728e-06
a	0.0537682726337	0.209943110686	0.287144261153	0.352611122841	0.0833060249077	0.00984425586233	0.000914497793934	0.000760939521758	0.000514228782327	0.00119328577517
ì	0.0186271574779	0.0795678277953	0.134690718718	0.578875457614	0.168824758303	0.0116841576208	0.00227588953131	0.00338098460725	0.000252306924109	0.00182074989172
c	0.0645435513926	0.0301067247318	0.0686463352393	0.625104332538	0.169430912768	0.0314122448736	0.00225779614377	0.00352788034908	0.00409136908137	0.000878882800573
h	0.116627015798	0.0191972314773	0.15871714908	0.545426384179	0.115980867589	0.0359981092245	0.00115025087126	0.00119970513273	0.00537026307212	0.000333047073998
e	0.0760267361393	0.0141584292924	0.181056391027	0.480065944726	0.20361050253	0.0294752680082	0.00558829854709	0.00679543191394	0.00191567606904	0.00130730742847
t	0.0270388923864	0.00545955150747	0.0889885416757	0.396594031575	0.423728404177	0.0392124330027	0.00720432794903	0.00867048496131	0.00143050035635	0.00167281514616
e	0.0106005590421	0.00218735731249	0.0574597083586	0.309227863858	0.562538344726	0.0432207380009	0.00745180541634	0.00520164211044	0.00121505480545	0.000896917852053
l	0.00439639599403	0.0010481682225	0.0493666272529	0.231410417953	0.659991568242	0.0392392280003	0.00829879630545	0.00434645010348	0.000924899588483	0.000977439817351
ì	0.00232225124901	0.000638566725833	0.0462764276443	0.142544632651	0.725873022747	0.0606849156668	0.0133160389352	0.00648873430116	0.000882455216161	0.00097295877245
s	0.000858856567337	0.000485428431944	0.0177186697748	0.113900040884	0.749696174249	0.0870948918889	0.0204106919784	0.00702061045372	0.00222057955872	0.000594063983817
o	0.000386746269112	0.000516052333981	0.0081102441916	0.0687883209613	0.665492401416	0.14947628063	0.0733071363261	0.0278508665046	0.00284820311957	0.00322375642094
n	0.00113338750304	0.00055026991466	0.00702374066387	0.0353921829871	0.631295177139	0.193082536877	0.0895044451087	0.0354220050682	0.00237298293986	0.00422330475365
t	0.00250831956768	0.00174748347489	0.00677272237796	0.0192993319957	0.74159864238	0.171424322292	0.0399185367029	0.0127970607027	0.00239106927995	0.00154257598422
a	0.00202638416589	0.0023803127383	0.00243868684599	0.0103198721986	0.547833582793	0.286224290764	0.092405040901	0.0523355796809	0.00169582135998	0.00234049218107
