 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
t	0.27487539	0.7227181	0.00181205535	0.0005028540675	4.20659225e-05	1.360860475e-05	2.89327965e-05	1.89658265e-06	1.54531703e-06	5.31791095e-07	3.00263e-06
a	0.125320044333	0.865792033333	0.00696224078333	0.00172266815583	0.000128913810833	1.71364620833e-05	4.18669558333e-05	2.85204938333e-06	1.26955079667e-06	8.15065364833e-06	2.84065393333e-06
p	0.0642998516777	0.924122877778	0.00894931282778	0.00238315988528	0.000174233733611	1.77885263611e-05	3.53047442778e-05	2.87730922778e-06	1.22997053222e-06	1.08605717494e-05	2.52244664444e-06
e	0.0268369844592	0.960989459259	0.00941260017593	0.00252354912843	0.000169017761204	1.70013621204e-05	3.88612990926e-05	5.21995817593e-06	9.4178451074e-07	4.8681147498e-06	1.56479197148e-06
d	0.0167483671531	0.96295098642	0.0137703180586	0.00589090354281	0.000501261353735	3.57720483735e-05	8.35903596975e-05	6.81556339198e-06	1.34561567025e-06	3.0599905166e-06	7.62575074716e-06
ì	0.0110849688844	0.944234205473	0.0326193850195	0.0109801645143	0.000827419007912	0.000127600869458	0.000102218461233	8.42370246399e-06	1.85756519008e-06	3.9104206722e-06	9.83498421572e-06
a	0.00503939876147	0.696447798491	0.12324691834	0.155996003171	0.015480411026	0.00217151807982	0.00100089462841	0.000421925960821	7.218979883e-05	9.02595444241e-05	3.26756220386e-05
m	0.0215298708872	0.52463226283	0.212008479447	0.21092942839	0.0252060251753	0.00288197145994	0.00199723950947	0.000557352964374	9.55872324433e-05	0.000116861004961	4.49225776795e-05
i	0.0267398608737	0.391565803043	0.446688833149	0.102834052463	0.0275888898918	0.00251470325331	0.00170312800316	0.000218426232225	4.46192023144e-05	5.06264101403e-05	5.10419212265e-05
n	0.0316353732026	0.184194329781	0.61994793105	0.105216719821	0.0532763699639	0.00309103291777	0.00223349313439	0.000127391377408	4.24103551048e-05	3.00395488801e-05	0.000204880405409
c	0.0402782827342	0.258369389927	0.385925226483	0.259692626607	0.0501206626546	0.00239459557259	0.0028601904448	7.9163799136e-05	3.36374877016e-05	1.59340607934e-05	0.00023028457447
i	0.0204918251781	0.232225063409	0.187088341628	0.514285255536	0.0372217788849	0.00463708229086	0.0035660854816	0.000281943439712	7.64528862339e-05	4.22427042645e-05	8.393869449e-05
à	0.0068761267757	0.078059352303	0.126125230543	0.734474831845	0.038112167295	0.00766036876362	0.00729950969387	0.000926558179904	0.000299239768745	0.000133116328088	3.35397684967e-05
è	0.00230977247157	0.026442441711	0.051166972681	0.869719363948	0.027658810765	0.00993799258787	0.00984607356462	0.00194715205997	0.000530897139582	0.000399262286029	4.13190028322e-05
