 	se	avessi	visto	le	nuvole	avrei	capito	che	pioverà	</S>
a	0.69122453	0.2636158057	0.0376651067	0.002562095875	0.0021595591125	0.00115542975915	0.000375366269	0.0001301143493	0.00093371117055	0.0001782579209
n	0.37475464	0.465786068567	0.1431920589	0.00696009229167	0.0064608355375	0.00119278383138	0.000406810281667	0.0001295668211	0.000936327490517	0.0001807970613
ì	0.151303465333	0.581499722856	0.2439525563	0.0134129827639	0.00827929327917	0.00081269485546	0.000287609312556	4.57037309333e-05	0.000340629563839	6.53139012e-05
c	0.0729132397777	0.514772907619	0.370377625433	0.022704695588	0.0180964405264	0.000726340548487	0.000230005684852	1.64860147544e-05	0.000140186928146	2.20486610467e-05
h	0.0377714192592	0.332790565873	0.555800055144	0.0332698458627	0.0395295895088	0.000545045069496	0.000228412022284	7.2487108948e-06	5.03083289153e-05	7.5043269389e-06
a	0.0174312547531	0.302297211958	0.581240245048	0.0627829926209	0.0341527259363	0.0015610680465	0.000407069247428	1.62611433983e-05	9.55340589718e-05	1.5635878023e-05
d	0.020942543251	0.238167496319	0.631094075016	0.0820737008736	0.0255075394121	0.00170218670217	0.000367470702476	1.80875172994e-05	0.000108403900724	1.8529849641e-05
ò	0.020551175937	0.110488513106	0.696135915005	0.146798273625	0.024093753804	0.00157464532072	0.000271047840825	2.46297929331e-05	4.80197686413e-05	1.4045562847e-05
n	0.0277824108323	0.0605474063687	0.658784761668	0.212864404542	0.036492015268	0.00246280974024	0.000996510233608	2.7457392111e-05	2.97033181138e-05	1.25129941657e-05
t	0.0369474976108	0.0237820493896	0.647949387223	0.183487814847	0.104412050423	0.00215405998008	0.0012387051512	1.06499328703e-05	1.33936237713e-05	4.40080076523e-06
a	0.0192012179019	0.0113979658299	0.459752420741	0.384447771616	0.114565503474	0.00862700046003	0.0015403728904	0.000193439488657	2.87949527571e-05	0.000245555082415
t	0.0078857285323	0.00537725727663	0.248192205247	0.573579823872	0.144222864491	0.0160624961533	0.00401246673013	0.000265376229552	4.34517892524e-05	0.000358391555472
a	0.00410760045877	0.00288272032554	0.156147710416	0.592220894624	0.198514938164	0.0378704923844	0.00701171467671	0.000644865776517	6.75476964175e-05	0.000531525279824
s	0.00205992870092	0.00186298672185	0.0706970598053	0.520638784875	0.331645679388	0.0595125661281	0.0110088678922	0.00111607395884	0.000160887408806	0.00129714475994
ì	0.00137699667097	0.00116704265395	0.0348264311684	0.362269841625	0.462665426463	0.114094534043	0.0189747986307	0.00258294858628	0.000287065846269	0.00175494138665
n	0.00102467539432	0.00100205202798	0.0183680216228	0.262454760542	0.467790475488	0.187984951348	0.0570471168769	0.00277091063209	0.000371320675423	0.00118575320888
n	0.00152191406477	0.00244753855266	0.0156303408743	0.143662065181	0.629431758496	0.143397777783	0.0622378146256	0.000981551436697	0.000274488647141	0.000414708172127
e	0.00116460198826	0.00285189191755	0.0102259885581	0.0702750773937	0.557490819499	0.289776499928	0.0558575752085	0.00883196526823	0.000478985737714	0.00304654601321
f	0.000962992596087	0.00141087187252	0.00455554878603	0.0501894397979	0.4177709065	0.410289443309	0.0983221830695	0.0118146695227	0.000614484399238	0.0040694468644
a	0.000900429535362	0.00088090819084	0.00251905067534	0.036684433866	0.355205312167	0.482257781103	0.105962481023	0.0121977866076	0.00112857561975	0.00226323928147
ì	0.000512219115121	0.000567348186947	0.00102756363845	0.0140520329553	0.191634450722	0.678100583701	0.087352145341	0.0172748895359	0.00748946263992	0.00198932489382
