 	ho	cosa	a	fare	</S>
è	0.407979935	0.577656875	0.012965049	0.000332306365	0.0010659203
c	0.151587683667	0.633322571667	0.0095401904	0.204615055222	0.000934563733333
h	0.0701753415557	0.628739537222	0.0108149848667	0.289512140407	0.000758039177778
o	0.0502142345186	0.690676432407	0.0975537636222	0.122636137802	0.0389194509259
t	0.15276427384	0.448545944136	0.122217509541	0.224396181601	0.0520760780086
i	0.177840635847	0.186226631712	0.202879971514	0.3428003272	0.0902524337029
k	0.119108239849	0.0685796042373	0.229878500838	0.464846909067	0.117586740568
à	0.0978677136497	0.0240148367124	0.114036287279	0.679260436356	0.084820722856
i	0.0342820182499	0.00841195309747	0.076101832093	0.639066178785	0.242138030952
</S>	0.019302639125	0.00429176988874	0.0429967055465	0.537313089392	0.396095815476
