 	la	pasta	vuole	sale	</S>
i	0.835499925	0.163222143	0.00107575254	0.000118824581	8.33826225e-05
p	0.754621341667	0.171719835667	0.0223132988467	0.0512005518537	0.000144979950833
à	0.569565310556	0.331733559889	0.0301118892822	0.0684647532512	0.000124503548611
s	0.263932377852	0.490336653296	0.137746576094	0.107901863717	8.2536692537e-05
t	0.095881727484	0.600736404432	0.179799524031	0.123524075239	5.8244792899e-05
a	0.0442734836947	0.590208958144	0.259729453344	0.049501201413	0.0562868733584
t	0.0249444473116	0.277318028048	0.535547617781	0.0870110261377	0.0751788768395
è	0.0111466508505	0.137732999349	0.710146905927	0.111651945379	0.0293215006665
l	0.00648750424017	0.0892592681163	0.816431668642	0.0738883271263	0.0139332170788
i	0.00488517003672	0.0404766351721	0.726507422881	0.131753221042	0.0963775598829
à	0.00972064401224	0.0209054398574	0.46746401096	0.356658440347	0.145251483294
l	0.00964844600408	0.0169260739525	0.380545446987	0.522818113449	0.070061936998
a	0.0123730680014	0.00970823966417	0.286036364329	0.456948214483	0.234934151566
</S>	0.0184466005007	0.00513980035208	0.158372545165	0.383512122241	0.434528975783
