 	non	mi	aspetti	non	vengo	</S>
m	0.0412610035	0.46015889475	0.4721801618	0.000157212835	0.02616757857	7.52573885e-05
ì	0.0197184095	0.477575331417	0.475457696267	0.000841562791667	0.0262376580233	0.000169417516833
m	0.0168923285	0.483295335059	0.445015307756	0.00179529336389	0.0528100018411	0.000191737801611
e	0.0126213334	0.445057699606	0.460283650585	0.0182955745546	0.062735804347	0.00100593787987
m	0.0107762997	0.433102079869	0.433073264862	0.0238774863182	0.097654491849	0.00151639395996
ì	0.00909021895333	0.18408264329	0.589249454954	0.0922198092394	0.11820503895	0.00715284458665
n	0.168716118038	0.10084399153	0.457319518318	0.120338672746	0.143869847983	0.00891187187888
i	0.222311640913	0.03707299461	0.221239924639	0.324589993915	0.182005132661	0.0127803023096
e	0.075665118671	0.0154219783933	0.077726862913	0.693500864638	0.120095908887	0.0175892397699
n	0.0318047806903	0.00623931698777	0.035042567471	0.538587428179	0.362422750962	0.0259031612566
è	0.0166771635968	0.00336716299592	0.0223157408237	0.468746102693	0.461917964987	0.0269758895189
r	0.00889347723227	0.00223515046531	0.0112433084412	0.450558818898	0.507718002996	0.0193512506063
k	0.0108909704108	0.0014547136051	0.0154978563137	0.158288953966	0.798842017665	0.0150255098621
o	0.0090590715036	0.0008300295317	0.0162748741579	0.065298392322	0.820319555888	0.0882181312807
m	0.0086505952012	0.00111786305723	0.00557690601263	0.0337372184407	0.824651918629	0.126265538427
e	0.0083909345504	0.00108166354241	0.00201435797421	0.0166396331469	0.866677962876	0.105195457476
</S>	0.0045657900002	0.000768192756205	0.00105812408211	0.0132930125734	0.853773816438	0.126541068738
